"road.death" "food.safety" "suicides" "homicides" "c.tax.rate" "rental.housing" "gini" "cellular.cost" "food.cost" "transit.pass" "apt.buy.cost" "toothpaste.cost" "km.transit" "hrs.transit" "bike.rental" "km.bike.path" "commute.time.transit" "commute.time.foot" "commute.time.airport" "transit.app" "pop.density" "taxi.rate" "health.clinics" "sex.health.clinic" "homeless.shelter" "smoking.scale" "mental.health.facilities" "doctor.density" "city.connections.flight" "getaway.bus.cost" "getaway.bus.time" "getaway.bus.freq" "getaway.plane.cost" "getaway.plane.time" "getaway.plane.freq" "hostel.stay" "unemployment.youth" "employment.programs" "youth.employment.centers" "new.jobs.2013" "water.scale" "smart.cities.scale" "qty.recycled.materials" "qty.annual.waste" "carbon.emissions" "num.recycled.materials" "registered.vehicles" "post.secondary.institutions" "tuition.cost" "undergrad.enrollment" "student.housing" "student.debt" "employment.initiatives.scale" "age.register.business" "num.incubators" "early.entrepreneurship" "ease.doing.business" "green.public.space" "sports.facilities" "public.libraries" "business.banking" "personal.banking" "chartered.banks" "online.banking" "mobile.banking" "financial.literacy" "voting.languages" "diversity.food" "openness.lgbtq" "openness.immigrants" "diversity.religion" "gender.gap.index" "cellular.comp" "cellular.package.cost" "free.wifi" "mobile.infrastructure" "municipal.open.data" "gamers.developers.scale" "num.nightclubs" "music.festivals" "graffiti.street.art" "number.pro.sports.teams" "num.pro.sports.facilities" "cost.shorts" "cost.gym" "film.festivals" "cost.movie" "cinema.seats" "voting.age" "councillor.age" "volunteer.opportunities" "youth.advisory.board" "highschool.volunteer" "num.restaurants" "last.call.index" "num.food.festival" "fast.food" "young.designer" "fashion.incubators" "design.schools"
"Accra" 49.44375 0 80.9935714285714 87.1152169431459 30.504347826087 0 42.8 47.7207922676668 60.1772081755756 0 64.5165488463885 0 2.0680575194088 46.4811188811189 0 0 55.531914893617 76.519298245614 NA NA 41.3813701897481 51.8453338035935 0.860907406341341 0 6.90231740942854 79.6583333333333 0.684799423654012 0 5.21879194630873 78.571766469526 71.6505439330544 86.4 76.9906813709296 73.2426395939086 84.6633165829146 20.524707281789 6.00457142857144 42.6 2.67701760149072 27.9727896420547 85.1 42.55 1.07833682589062 73.0024058147903 61.0104014754936 21.275 61.1282769913925 6.64426192852169 53.565429638775 6.70715886327258 0 0 42.05 0 2.95087719298246 54.3804511278196 956 1.34928785523894 5.41459422023547 2.46631059086153 62.9230769230769 81.8 0 0 0 54.5333333333333 0 0 16.22 5.15664739884393 0 40.302312390925 5.77142857142857 0 16.16 80.8 60.6 20.2 1.62439024390244 2.01818181818182 0 2.93076923076923 1.92911392405063 54.9298404353344 54.6810643155988 0.960759493670886 5.50902859669766 0.65973757200339 45.3 28.7989690721649 0 0 0 1.15672413039271 0 0 51.7978854571761 0 3.96666666666667 7.42668169898634
"Amsterdam" 86.911125 87.9 64.9832142857143 85.5942556867929 7.62608695652174 85.6249960172827 33.8 84.296188672235 87.4483575279316 79.0831084648074 83.7956976398661 87.1531530477509 8.71090894538858 68.7482517482517 87 78.2199096036585 63.3989361702128 71.4315789473684 NA NA 14.8743385605868 86.2799735324493 9.26829808186213 0.247578347578348 23.0497684772156 65.175 14.33945723914 57.9333333333333 58.2765100671141 86.104856026874 64.528870292887 86.1227807486631 86.342315894292 73.2426395939086 25.61608040201 83.6914194446359 48.6857142857143 85.2 11.8168357053868 18.7936514512903 85.1 85.1 9.45181431151673 64.1503763582753 61.9580430086365 26.59375 57.2046388836113 30.1206087065128 77.0723938408097 8.10699133498545 84.1321935217682 84.2486561496241 84.1 36.0428571428571 8.11491228070175 19.6022556390977 528 0.79028561277687 3.68748786201912 23.2027134604797 62.9230769230769 81.8 14.7154479263579 2.26649874055416 2.46385542168675 54.5333333333333 0 60.4563636363636 81.1 30.0023121387283 65.8341176470588 78.1277486910995 61.5619047619048 80.7612284552436 24.24 80.8 80.8 80.8 3.79024390243903 41.3727272727273 77.4 0 3.85822784810127 75.9167841196106 76.0845022349139 32.6658227848101 71.8217684701562 10.0857929475527 45.3 75.5 21.996062992126 8.38364583333333 11.325 7.83244316348623 74.9 13.1075 74.0182935293972 20.5961538461538 3.96666666666667 41.4255847126587
"Bangkok" 17.1405 87.9 38.45625 82.8867557603139 61.0086956521739 79.2029899175831 40 84.2592650834953 83.1165284919462 69.8186810113166 71.5528444312837 82.5818815693019 1.5725128725022 61.4475524475524 0.712278459230098 0.374770671237245 44.4255319148936 64.0035087719298 NA NA 15.9159791208754 85.3367893188417 3.37847401936872 0 1.74194732907815 50.6916666666667 0.158996147412811 6.20714285714286 55.3771812080537 84.0192342319964 65.071129707113 82.0568983957219 85.950281932305 68.8568527918782 81.6241206030151 73.8531827850437 83.0902857142857 85.2 3.10017527490329 27.8519388716559 29.785 85.1 12.8751649550984 72.3240210770574 65.6608218712756 27.6575 0 4.42568119951692 82.8951948905645 39.8560111736268 77.4956469569117 84.1672733606455 84.1 12.0142857142857 1.47543859649123 37.3075187969925 429 0.104902043072071 24.9682251680821 0.422496439281048 75.5076923076923 67.3647058823529 3.52077052211728 6.38740554156171 0 0 0 47.1854545454545 32.44 24.8456647398844 31.4858823529412 53.2528359511344 3.84761904761905 80.6100040867052 32.32 80.8 33.6666666666667 0 1.08292682926829 4.03636363636364 77.4 5.86153846153846 10.9316455696203 71.9419409600236 72.2233903433103 8.64683544303797 62.7826663864809 0.597231977047552 45.3 30.2320119338402 3.56692913385827 1.52258333333333 0 2.45852158346029 24.9666666666667 2.80875 71.4382003609784 1.37307692307692 7.93333333333333 3.39155766113085
"Beirut" 60.101625 37.4042553191489 87.9 87.0782053155013 49.5695652173913 78.2895991386986 85.6 69.179783811248 80.7715849923052 48.0027592652736 87.6854425929392 81.1038112797083 3.81353520262519 63.9825174825175 0 0 75.4308510638298 87 NA NA 60.5083105147711 86.9956110498364 0.182449846173344 0 4.55524269033048 0 1.23209040690033 64.1404761904762 9.85771812080537 86.1527766088115 77.0008368200837 84.9214973262032 86.3994073863427 13.1573604060914 83.7949748743718 75.0792690586697 30.8342857142857 42.6 22.0920298189473 9.39462982938412 56.7333333333333 28.3666666666667 4.33072323599988 71.2894261261575 48.6904489550942 15.95625 43.4790939055813 9.8564485004179 40.7191564002734 29.7764550296244 77.3596501735127 84.1476350615871 42.05 36.0428571428571 0.737719298245614 20.2345864661654 1155 0.0369443966537692 0.368421052631579 1.08749364569404 62.9230769230769 81.8 15.7844807648635 4.53299748110831 3.94216867469879 54.5333333333333 0 19.9063636363636 8.11 13.5947976878613 13.3576470588235 14.1889616055847 0 80.4879111103457 32.32 0 0 40.4 57.9365853658537 5.04545454545454 0 29.3076923076923 3.85822784810127 71.95013495463 72.1944496210918 4.80379746835443 56.519892792456 3.94481678230273 0 21.0154639175258 0.594488188976378 0.94375 0 6.67695315616654 74.9 1.8725 69.2965231028285 0 3.96666666666667 11.8253619473684
"Berlin" 85.812375 28.5207446808511 61.8439285714286 85.3284671047459 15.2521739130435 86.6357688371575 28.3 87.7 87.2070280115444 81.4436540091083 85.5103920269217 87.7 43.9909025424859 77.8741258741259 6.03307054502139 30.4725278307175 73.1170212765958 66.8526315789474 NA NA 11.2188452369077 86.2889588707138 6.75746446035974 2.22820512820513 48.0574164053581 57.9333333333333 86.9 74.4857142857143 30.7328859060403 86.0859033426948 77.0008368200837 85.475935828877 86.3514184074409 73.2426395939086 85.5316582914573 84.8168201371468 69.296 85.2 26.4587943069997 33.065314734069 0 85.1 9.29775954488601 75.6426321987243 62.9043276110704 18.615625 55.2141629043006 11.2596597677463 83.7059481584436 18.6553806802742 84.2316599033264 84.2751457202145 84.1 84.1 17.7052631578947 10.5388471177945 404 3.86609638481539 69.5826705542562 17.7133847452768 0 81.8 10.3661229358397 5.76926952141058 10.8409638554217 54.5333333333333 0 60.4563636363636 81.1 40.3156069364162 36.2564705882353 79.8969458987784 76.9523809523809 80.7670694001364 40.4 80.8 53.8666666666667 80.8 34.9243902439024 48.4363636363636 77.4 14.6538461538462 4.82278481012658 75.9944635340858 76.1885624720834 61.4886075949367 73.3533790428763 13.4805140857244 45.3 41.2525773195876 20.2125984251969 26.425 0 3.5386384218322 74.9 7.49 74.2236279343331 1.37307692307692 11.9 42.6798709257535
"Bogota" 55.047375 26.1829787234043 73.7732142857143 74.6708695014642 26.6913043478261 79.6767288944707 53.5 81.3372798617622 84.8102902601703 69.103902144499 81.3509311450777 85.8379577710767 2.51369954379319 64.4895104895105 0.303378786641627 17.8072852272727 55.0691489361702 56.0666666666667 NA NA 46.6251979694749 85.1389140282764 0.861249533939345 0.495156695156695 1.48388557941391 65.175 0.0184017043035762 28.9666666666667 18.2657718120805 85.1051206650266 67.2401673640167 85.2911229946524 86.3999630081005 77.6284263959391 61.2180904522613 74.969872806158 63.2914285714286 85.2 1.06247638603075 11.5713442713194 42.55 70.9166666666667 12.1077610246729 73.7515447338537 77.9832561019038 26.59375 68.4703986072405 11.6119162499389 84.2867863793823 29.9235384782974 83.7218809337465 84.2271498445179 84.1 36.0428571428571 8.11491228070175 49.9541353383459 762 4.65158895371529 1.15728164827768 1.52831746098882 62.9230769230769 81.8 2.58822252404579 3.91486146095718 5.91325301204819 54.5333333333333 0 21.3809090909091 40.55 40.3156069364162 13.3576470588235 56.6143106457243 13.4666666666667 80.6351296662502 32.32 80.8 67.3333333333333 80.8 5.95609756097561 16.1454545454545 77.4 11.7230769230769 2.89367088607595 73.731281618339 74.3965396864177 28.8227848101266 67.3919683381256 5.40983131079378 45.3 34.2474226804124 8.32283464566929 13.9675 30.2 2.01413965343486 49.9333333333333 4.68125 71.3782929828934 0 0 6.50050532381705
"Boston" 73.945875 87.9 52.74 79.7058034458235 63.8684782608696 84.617995831344 47.72 82.4710586392732 87.3194079293225 85.525434006596 85.7508677730732 87.0629112287335 0.123015767147774 71.7902097902098 23.7406360396677 5.209578125 72.6542553191489 85.1684210526316 NA NA 15.4922174038286 86.4220524016772 4.48200049096341 6.68461538461538 17.8646370688817 57.9333333333333 29.6010998553633 49.6571428571429 26.9637583892617 86.3724234250359 77.0008368200837 85.2911229946524 86.3626759591781 71.0497461928934 0 81.3728047728946 67.8354285714286 85.2 14.9330544047074 60.7234980837529 42.55 85.1 4.98112735741337 73.9482689069779 45.4612265373718 37.23125 40.002104646561 39.4143595689788 52.9590175803307 55.8663920738888 82.9879376034263 84.2204618116502 84.1 36.0428571428571 13.2789473684211 26.768671679198 319 1.44661798062592 2.32210364012967 28.1983300495316 62.9230769230769 81.8 28.2030652151715 3.09068010075567 7.39156626506024 54.5333333333333 6.23846153846154 57.5072727272727 72.99 16.4075144508671 53.4305882352941 68.6802356020942 7.6952380952381 80.6795222405035 72.72 80.8 80.8 60.6 3.51951219512195 8.07272727272727 77.4 11.7230769230769 3.85822784810127 76.0352548610015 75.9369093859578 10.5683544303797 71.876695821515 75.9 60.4 50.2036082474227 10.1062992125984 5.285 0 3.07328815387213 24.9666666666667 17.78875 74.1176631988164 0 0 43.4778837044055
"Buenos.Aires" 65.375625 13.0914893617021 58.3907142857143 82.3906933504374 7.62608695652174 83.8309656055793 36.7 75.7136870135383 86.0343668984059 81.3278979486016 86.7207709679766 85.2519577129292 19.8519595549983 57.1888111888112 12.2450166098588 16.0136785714286 58.7712765957447 75.2982456140351 NA NA 45.0270471416738 85.8635098156086 20.351377790649 11.1410256410256 15.97141208032 50.6916666666667 0.434347779944776 64.1404761904762 15.0765100671141 84.6207351440828 78.0853556485356 77.6213903743316 86.0287586314317 75.4355329949238 84.6633165829146 79.5655385040351 61.5062857142857 85.2 0.932977386913534 25.4808260599605 42.55 56.7333333333333 1.39163962132034 64.637618095232 72.3188840454934 18.615625 30.6433474650453 17.0089354662993 84.3 84.3 81.1437356050213 84.2999990099869 84.1 36.0428571428571 5.1640350877193 33.5135338345865 1251 0.760972976574409 7.47365795074375 7.21751805997158 62.9230769230769 81.8 10.9331728002206 5.76926952141058 2.9566265060241 54.5333333333333 0 17.6945454545455 81.1 37.0341040462428 45.7976470588235 63.5141797556719 3.84761904761905 80.5432891651898 56.56 80.8 80.8 80.8 12.1829268292683 77.7 0 17.5846153846154 20.2556962025316 72.7522924533184 74.6033014128945 18.2544303797468 68.0333232064286 10.9866272929454 45.3 36.5824742268041 2.37795275590551 0 0 3.82374165475091 74.9 5.6175 72.1971811174357 1.37307692307692 3.96666666666667 0
"Cairo" 59.662125 50.4957446808511 85.3885714285714 67.7920043067466 49.5695652173913 82.0292549709109 30.8 82.0994374685984 83.1593725405084 73.8909616137996 82.739711712574 83.8853396899436 1.69901021796548 69.965034965035 0 0 55.531914893617 71.5333333333333 NA NA 61.7293761481669 85.999339711728 2.6232597825354 1.48547008547009 0 50.6916666666667 0.098637330501069 55.8642857142857 20.2953020134228 86.0182547861429 80.2543933054393 84.2746524064171 86.2991526092364 66.6639593908629 64.2572864321608 76.1122902975746 38.9485714285714 42.6 1.87548395545721 11.0511106606908 0 85.1 21.5248904695464 77.1590257089991 80.3151145024716 10.6375 68.1198669180996 1.28712975838172 83.6221018496282 30.2990370848859 81.9196129510483 74.0158471400235 42.05 0 3.68859649122807 20.2345864661654 1249 0.0256392871442363 0.90905980733797 0.83132885444706 81.8 81.8 2.96455816340913 3.91486146095718 1.47831325301205 0 0 16.9572727272727 0 2.34393063583815 13.3576470588235 19.1780977312391 1.92380952380952 70.9449729009212 24.24 80.8 53.8666666666667 80.8 1.21829268292683 3.02727272727273 77.4 26.3769230769231 8.68101265822785 70.2885238875038 71.8859717241152 1.92151898734177 60.4970675480252 0.825609971462074 45.3 28.7989690721649 8.49268841394826 0 0 0.918414314604698 12.4833333333333 3.21 69.8004407329968 0 0 0.54905716080095
"Caracas" 0 63.5872340425532 82.5632142857143 9.31380662036091 41.9434782608696 11.7156855404602 39 28.737432039969 0 75.1920649323313 84.6316782724223 4.46403117996122 25.9679321292319 61.4475524475524 0.00405888604915537 0.0947775064188776 45.3510638297872 77.6385964912281 NA NA 10.3000393417046 42.6808908189251 1.09448622987977 0.247578347578348 0.496320337975765 65.175 0.0269246511690954 49.6571428571429 4.63892617449664 83.7688651202699 73.747280334728 86.3075935828877 0 79.8213197969543 85.9658291457286 10.9911784631614 61.5062857142857 42.6 5.4095082635193 72.9729077075711 0 70.9166666666667 7.57669218350014 63.60456582887 63.0749030458612 15.95625 13.1918953027819 19.8726761535949 62.0332189897368 23.5816165161259 36.6656472211409 71.2500597390232 42.05 36.0428571428571 3.68859649122807 38.9937343358396 1663 0.56060580513335 1.2042488652535 1.56702079964137 62.9230769230769 62.5529411764706 2.02363736149168 1.23627204030227 0.492771084337349 54.5333333333333 0 23.5927272727273 32.44 29.5335260115607 35.3023529411765 47.0252617801047 1.92380952380952 80.0906832974334 8.08 40.4 53.8666666666667 40.4 2.9780487804878 5.04545454545454 77.4 11.7230769230769 7.71645569620253 0 0 4.80379746835443 0 5.92166074135896 45.3 59.9329896907216 7.72834645669291 0.18875 45.3 0.802079433657457 31.2083333333333 11.235 0 4.11923076923077 0 28.9899530807439
