"","0.77400000000000002","X2","81","X4","X5","X6","X7","100","X9","X10","X11","X12"
"1","Arts Attribute Totals
(sorted by winner below)",NA,"Grafitti and street art","raw data","difference","raw score","weighted score","Number of design schools","raw data","difference","raw score","weighted score"
"2","Accra","1.1156249999999999","Accra","0","1","0","0","Accra","3","62","3.125","2.2312499999999997"
"3","Amsterdam","41.489062500000003","Amsterdam","1","0","100","77.400000000000006","Amsterdam","6","59","7.8125","5.578125"
"4","Bangkok","40.931250000000006","Bangkok","1","0","100","77.400000000000006","Bangkok","5","60","6.25","4.4624999999999995"
"5","Beirut","1.6734374999999999","Beirut","0","1","0","0","Beirut","4","61","4.6875","3.3468749999999998"
"6","Berlin","52.645312500000003","Berlin","1","0","100","77.400000000000006","Berlin","26","39","39.0625","27.890625"
"7","Bogota","43.162500000000001","Bogota","1","0","100","77.400000000000006","Bogota","9","56","12.5","8.9249999999999989"
"8","Boston","40.931250000000006","Boston","1","0","100","77.400000000000006","Boston","5","60","6.25","4.4624999999999995"
"9","Buenos Aires","6.1359374999999998","Buenos Aires","0","1","0","0","Buenos Aires","12","53","17.1875","12.271875"
"10","Cairo","38.700000000000003","Cairo","1","0","100","77.400000000000006","Cairo","1","64","0","0"
"11","Caracas","46.509375000000006","Caracas","1","0","100","77.400000000000006","Caracas","15","50","21.875","15.618749999999999"
"12","Casablanca","42.604687500000004","Casablanca","1","0","100","77.400000000000006","Casablanca","8","57","10.9375","7.8093749999999993"
"13","Chicago","42.604687500000004","Chicago","1","0","100","77.400000000000006","Chicago","8","57","10.9375","7.8093749999999993"
"14","Dallas","39.2578125","Dallas","1","0","100","77.400000000000006","Dallas","2","63","1.5625","1.1156249999999999"
"15","Dar Es Salaam","41.489062500000003","Dar Es Salaam","1","0","100","77.400000000000006","Dar Es Salaam","6","59","7.8125","5.578125"
"16","Detroit","40.373437500000001","Detroit","1","0","100","77.400000000000006","Detroit","4","61","4.6875","3.3468749999999998"
"17","Dubai","0.55781249999999993","Dubai","0","1","0","0","Dubai","2","63","1.5625","1.1156249999999999"
"18","Durban","7.2515624999999995","Durban","0","1","0","0","Durban","14","51","20.3125","14.503124999999999"
"19","Hong Kong","44.8359375","Hong Kong","1","0","100","77.400000000000006","Hong Kong","12","53","17.1875","12.271875"
"20","Istanbul","43.720312500000006","Istanbul","1","0","100","77.400000000000006","Istanbul","10","55","14.0625","10.040625"
"21","Jakarta","2.2312499999999997","Jakarta","0","1","0","0","Jakarta","5","60","6.25","4.4624999999999995"
"22","Johannesburg","60.454687500000006","Johannesburg","1","0","100","77.400000000000006","Johannesburg","40","25","60.9375","43.509374999999999"
"23","Karachi","43.720312500000006","Karachi","1","0","100","77.400000000000006","Karachi","10","55","14.0625","10.040625"
"24","Lagos","15.618749999999999","Lagos","0","1","0","0","Lagos","29","36","43.75","31.237499999999997"
"25","Lima","16.176562499999999","Lima","0","1","0","0","Lima","30","35","45.3125","32.353124999999999"
"26","London","35.699999999999996","London","0","1","0","0","London","65","0","100","71.399999999999991"
"27","Los Angeles","52.087500000000006","Los Angeles","1","0","100","77.400000000000006","Los Angeles","25","40","37.5","26.774999999999999"
"28","Madrid","47.625","Madrid","1","0","100","77.400000000000006","Madrid","17","48","25","17.849999999999998"
"29","Manila","5.0203125000000002","Manila","0","1","0","0","Manila","10","55","14.0625","10.040625"
"30","Mexico City","54.318750000000001","Mexico City","1","0","100","77.400000000000006","Mexico City","29","36","43.75","31.237499999999997"
"31","Miami","1.6734374999999999","Miami","0","1","0","0","Miami","4","61","4.6875","3.3468749999999998"
"32","Montreal","40.373437500000001","Montreal","1","0","100","77.400000000000006","Montreal","4","61","4.6875","3.3468749999999998"
"33","Moscow","47.067187500000003","Moscow","1","0","100","77.400000000000006","Moscow","16","49","23.4375","16.734375"
"34","Mumbai","47.625","Mumbai","1","0","100","77.400000000000006","Mumbai","17","48","25","17.849999999999998"
"35","Nairobi","42.046875","Nairobi","1","0","100","77.400000000000006","Nairobi","7","58","9.375","6.6937499999999996"
"36","New Delhi","50.4140625","New Delhi","1","0","100","77.400000000000006","New Delhi","22","43","32.8125","23.428124999999998"
"37","New York City","50.971875000000004","New York City","1","0","100","77.400000000000006","New York City","23","42","34.375","24.543749999999999"
"38","Osaka","43.162500000000001","Osaka","1","0","100","77.400000000000006","Osaka","9","56","12.5","8.9249999999999989"
"39","Paris","67.1484375","Paris","1","0","100","77.400000000000006","Paris","52","13","79.6875","56.896874999999994"
"40","Quito","42.604687500000004","Quito","1","0","100","77.400000000000006","Quito","8","57","10.9375","7.8093749999999993"
"41","Rio De Janeiro","45.393750000000004","Rio De Janeiro","1","0","100","77.400000000000006","Rio De Janeiro","13","52","18.75","13.387499999999999"
"42","Rome","42.046875","Rome","1","0","100","77.400000000000006","Rome","7","58","9.375","6.6937499999999996"
"43","San Francisco","47.067187500000003","San Francisco","1","0","100","77.400000000000006","San Francisco","16","49","23.4375","16.734375"
"44","Santiago","50.4140625","Santiago","1","0","100","77.400000000000006","Santiago","22","43","32.8125","23.428124999999998"
"45","Sao Paulo","54.876562500000006","Sao Paulo","1","0","100","77.400000000000006","Sao Paulo","30","35","45.3125","32.353124999999999"
"46","Seoul","45.393750000000004","Seoul","1","0","100","77.400000000000006","Seoul","13","52","18.75","13.387499999999999"
"47","Shanghai","7.8093749999999993","Shanghai","0","1","0","0","Shanghai","15","50","21.875","15.618749999999999"
"48","Singapore","4.4624999999999995","Singapore","0","1","0","0","Singapore","9","56","12.5","8.9249999999999989"
"49","Sydney","45.393750000000004","Sydney","1","0","100","77.400000000000006","Sydney","13","52","18.75","13.387499999999999"
"50","Tehran","43.162500000000001","Tehran","1","0","100","77.400000000000006","Tehran","9","56","12.5","8.9249999999999989"
"51","Tel Aviv","41.489062500000003","Tel Aviv","1","0","100","77.400000000000006","Tel Aviv","6","59","7.8125","5.578125"
"52","Tokyo","43.720312500000006","Tokyo","1","0","100","77.400000000000006","Tokyo","10","55","14.0625","10.040625"
"53","Toronto","45.951562500000001","Toronto","1","0","100","77.400000000000006","Toronto","14","51","20.3125","14.503124999999999"
"54","Vancouver","40.931250000000006","Vancouver","1","0","100","77.400000000000006","Vancouver","5","60","6.25","4.4624999999999995"
"55","Warsaw","43.162500000000001","Warsaw","1","0","100","77.400000000000006","Warsaw","9","56","12.5","8.9249999999999989"
"56","Washington","39.815625000000004","Washington","1","0","100","77.400000000000006","Washington","3","62","3.125","2.2312499999999997"
