"","0.81100000000000005","X2","67","X4","X5","X6","X7","68","X9","X10","X11","X12","69","X14","X15","X16","X17","70","X19","X20","X21","X22","71","X24","X25","X26","X27","72","X29","X30","X31","X32"
"1","Diversity Attribute Totals
(sorted by winner below)",NA,"Languages to vote in","raw data","difference","raw score","weighted score","Diversity of food","raw data","difference","raw score","weighted score","Openness to LGBTQ","raw data","difference","raw score","weighted score","Openness to immigrants","raw data","difference","raw score","weighted score","Diversity of religion","raw data","difference","raw score","weighted score","Gender gap index","raw data","difference","raw score","weighted score"
"2","Accra",10.2798266316281,"Accra","1","26","0","0","Accra","4","110","0","0","Accra","6","8","20","16.220000000000002","Accra","14","162","6.3583815028901682","5.1566473988439272","Accra","2","85","0","0","Accra","0.66610000000000003","0.11529999999999996","49.694589877835959","40.302312390924968"
"3","Amsterdam",52.586757018875,"Amsterdam","1","26","0","0","Amsterdam","86","28","74.545454545454547","60.456363636363641","Amsterdam","14","0","100","81.100000000000009","Amsterdam","67","109","36.994219653179186","30.002312138728321","Amsterdam","71","16","81.17647058823529","65.834117647058818","Amsterdam","0.77300000000000002","8.3999999999999631E-3","96.335078534031425","78.127748691099484"
"4","Bangkok",31.5349729315691,"Bangkok","1","26","0","0","Bangkok","68","46","58.18181818181818","47.185454545454547","Bangkok","8","6","40","32.440000000000005","Bangkok","56","120","30.635838150289018","24.845664739884395","Bangkok","35","52","38.823529411764703","31.485882352941175","Bangkok","0.70269999999999999","7.8699999999999992E-2","65.663176265270494","53.252835951134372"
"5","Beirut",11.5262949981055,"Beirut","1","26","0","0","Beirut","31","83","24.545454545454547","19.90636363636364","Beirut","5","9","10","8.1100000000000012","Beirut","32","144","16.763005780346816","13.594797687861268","Beirut","16","71","16.470588235294116","13.357647058823529","Beirut","0.59230000000000005","0.18909999999999993","17.49563699825481","14.188961605584652"
"6","Berlin",49.6708978432989,"Berlin","1","26","0","0","Berlin","86","28","74.545454545454547","60.456363636363641","Berlin","14","0","100","81.100000000000009","Berlin","89","87","49.710982658959537","40.315606936416188","Berlin","40","47","44.705882352941174","36.256470588235295","Berlin","0.77800000000000002","3.3999999999999586E-3","98.516579406631777","79.89694589877837"
"7","Bogota",28.7030789553122,"Bogota","1","26","0","0","Bogota","33","81","26.36363636363636","21.380909090909089","Bogota","9","5","50","40.550000000000004","Bogota","89","87","49.710982658959537","40.315606936416188","Bogota","16","71","16.470588235294116","13.357647058823529","Bogota","0.71220000000000006","6.9199999999999928E-2","69.808027923211199","56.614310645724288"
"8","Boston",45.8756787589983,"Boston","3","24","7.6923076923076934","6.2384615384615394","Boston","82","32","70.909090909090907","57.507272727272728","Boston","13","1","90","72.990000000000009","Boston","38","138","20.23121387283237","16.407514450867055","Boston","58","29","65.882352941176464","53.430588235294117","Boston","0.74629999999999996","3.510000000000002E-2","84.685863874345543","68.680235602094243"
"9","Buenos Aires",40.8567460525473,"Buenos Aires","1","26","0","0","Buenos Aires","28","86","21.818181818181827","17.694545454545462","Buenos Aires","14","0","100","81.100000000000009","Buenos Aires","82","94","45.664739884393057","37.034104046242774","Buenos Aires","50","37","56.470588235294116","45.797647058823529","Buenos Aires","0.73170000000000002","4.9699999999999966E-2","78.315881326352539","63.514179755671911"
"10","Cairo",8.63949135886225,"Cairo","1","26","0","0","Cairo","27","87","20.909090909090907","16.957272727272727","Cairo","4","10","0","0","Cairo","8","168","2.8901734104046142","2.3439306358381424","Cairo","16","71","16.470588235294116","13.357647058823529","Cairo","0.60640000000000005","0.17499999999999993","23.6474694589878","19.178097731239106"
"11","Caracas",27.9823113342615,"Caracas","1","26","0","0","Caracas","36","78","29.090909090909093","23.592727272727277","Caracas","8","6","40","32.440000000000005","Caracas","66","110","36.416184971098261","29.533526011560692","Caracas","39","48","43.529411764705884","35.302352941176473","Caracas","0.68510000000000004","9.6299999999999941E-2","57.984293193717292","47.025261780104728"
"12","Casablanca",9.93535846415339,"Casablanca","2","25","3.8461538461538396","3.1192307692307639","Casablanca","15","99","10","8.1100000000000012","Casablanca","4","10","0","0","Casablanca","69","107","38.150289017341038","30.939884393063583","Casablanca","3","84","1.1764705882352899","0.95411764705882018","Casablanca","0.5988","0.18259999999999998","20.331588132635247","16.488917975567187"
"13","Chicago",56.9203133401035,"Chicago","16","11","57.692307692307693","46.78846153846154","Chicago","113","1","99.090909090909093","80.362727272727284","Chicago","13","1","90","72.990000000000009","Chicago","38","138","20.23121387283237","16.407514450867055","Chicago","61","26","69.411764705882348","56.292941176470585","Chicago","0.74629999999999996","3.510000000000002E-2","84.685863874345543","68.680235602094243"
"14","Dallas",48.5656677895755,"Dallas","1","26","0","0","Dallas","91","23","79.090909090909093","64.142727272727285","Dallas","12","2","80","64.88000000000001","Dallas","38","138","20.23121387283237","16.407514450867055","Dallas","83","4","95.294117647058826","77.283529411764718","Dallas","0.74629999999999996","3.510000000000002E-2","84.685863874345543","68.680235602094243"
"15","Dar Es Salaam",15.7065830646068,"Dar Es Salaam","1","26","0","0","Dar Es Salaam","19","95","13.63636363636364","11.059090909090912","Dar Es Salaam","4","10","0","0","Dar Es Salaam","47","129","25.433526011560687","20.626589595375719","Dar Es Salaam","6","81","4.705882352941174","3.8164705882352923","Dar Es Salaam","0.71819999999999995","6.3200000000000034E-2","72.425828970331565","58.737347294938907"
