"","-","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43"
"1","0.84299999999999997",NA,"49",NA,NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,"51",NA,NA,NA,NA,NA,NA,"52",NA,NA,NA,NA,NA,NA,NA,NA,"53",NA,NA,NA,NA,NA,NA,NA,NA
"2","Education Attribute Totals
(sorted by winner below)",NA,"Post-secondary institutions","raw data","population","per 1,000,000","difference","raw score","weighted score","Average cost of tuition","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Full-time undergrad enrolment","raw data","population","per 1000","difference","raw score","weighted score","Student housing","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Student debt","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"3","Accra","17.498375442581036","Accra","19","2269000","8.3737329219920671","90.211053473771344","7.8816867479498001","6.6442619285216811","Accra","2765.5","0.48759999999999998","1348.4577999999999","0.37","3644.4805405405405","3644.4805405405405","63.541434921441258","53.56542963877498","Accra","43706","2269000","19.262230057293962","146.70644269224618","11.605943301337476","9.7838102030274925","Accra","n/a","0.48759999999999998","na","0.37","na","na","na","0","Accra","n/a","0.48759999999999998",NA,"0.37","na","na","na","0"
"4","Amsterdam","50.624820556530295","Amsterdam","29","813562","35.645715999518167","62.939070396245249","35.730259438330719","30.120608706512794","Amsterdam","5990.333333333333","1.3277000000000001","7953.3655666666673","9.2799999999999994","857.04370330459778","857.04370330459778","91.426327213297384","77.072393840809696","Amsterdam","18123.8","813562","22.277097504554046","143.69157524498613","13.422471322748933","11.315143325077351","Amsterdam","493","1.3277000000000001","654.55610000000001","9.2799999999999994","70.534062500000005","70.534062500000005","99.63361370548202","83.991136353721345","Amsterdam","14450","1.3277000000000001","19185.265000000003","9.2799999999999994","2067.3776939655177","2067.3776939655177","91.041363326149423","76.747869283943956"
"5","Bangkok","51.403861609875484","Bangkok","48","8280925","5.7964538985680942","92.788332497195327","5.2499183861410614","4.425681199516915","Bangkok","6234","3.2599999999999997E-2","203.22839999999999","1.22","166.58065573770492","166.58065573770492","98.333564520242618","82.895194890564525","Bangkok","750716","8280925","90.656055935780117","75.312616813760044","54.622390137798639","46.046674886164254","Bangkok","103000","3.2599999999999997E-2","3357.7999999999997","1.22","2752.2950819672128","2752.2950819672128","85.703316089271937","72.247895463256242","Bangkok","200000","3.2599999999999997E-2","6519.9999999999991","1.22","5344.2622950819668","5344.2622950819668","76.841530054644807","64.777409836065573"
"6","Beirut","39.400774782135741","Beirut","23","1900000","12.105263157894736","86.479523237868676","11.692109727660608","9.8564485004178923","Beirut","10335562.5","6.9999999999999999E-4","7234.8937500000002","1.4","5167.7812500000009","5167.7812500000009","48.302676631403777","40.719156400273384","Beirut","131000","1900000","68.94736842105263","97.021304328487531","41.542399103895747","35.020242444584113","Beirut","5614500","6.9999999999999999E-4","3930.15","1.4","2807.2500000000005","2807.2500000000005","85.417855021669709","72.007251783267563","Beirut","12270000","6.9999999999999999E-4","8589","1.4","6135","6135","73.414999999999992","61.888844999999989"
"7","Berlin","50.49679985215559","Berlin","47","3421829","13.735344460520967","84.849441935242453","13.356654528761851","11.259659767746241","Berlin","599","1.3277000000000001","795.29230000000007","11.29","70.442187776793631","70.442187776793631","99.295312168972274","83.705948158443618","Berlin","153967","3421829","44.995527245809186","120.97314550373098","27.110855621356322","22.854451288803379","Berlin","258","1.3277000000000001","342.54660000000001","11.29","30.340708591674051","30.340708591674051","99.842396433723735","84.167140193629109","Berlin","8510","1.3277000000000001","11298.727000000001","11.29","1000.7729849424271","1000.7729849424271","95.663317065249487","80.644176286005319"
"8","Bogota","57.257219989989245","Bogota","110","7776845","14.144553478949369","84.44023291681404","13.774515124482676","11.611916249938895","Bogota","5390","5.0000000000000001E-4","2.6949999999999998","1.72","1.566860465116279","1.566860465116279","99.984325479694292","84.286786379382278","Bogota","0","7776845","0","165.96867274954016","0","49.865081171832237","Bogota","813000","5.0000000000000001E-4","406.5","1.72","236.33720930232559","236.33720930232559","98.77235606026521","83.265096158803573","Bogota","10090658","5.0000000000000001E-4","5045.3289999999997","1.72","2933.3308139534884","2933.3308139534884","87.288899806201556","73.584542536627907"
"9","Boston","59.475212543587261","Boston","30","645966","46.44207280259333","52.142713593170086","46.754874933545409","39.414359568978782","Boston","29731.107142857141","1","29731.107142857141","8","3716.3883928571427","3716.3883928571427","62.822084911424362","52.959017580330737","Boston","80835","645966","125.13816516658771","40.83050758295245","75.398665961154663","63.561075405253376","Boston","4,263.33","1","4263.33","8","532.91624999999999","532.91624999999999","97.231788398322877","81.966397619786179","Boston","25621","1","25621","8","3202.625","3202.625","86.121958333333339","72.600810875000008"
"10","Buenos Aires","57.469283615568393","Buenos Aires","59","2890151","20.414158291383391","78.170628104380029","20.176673151007407","17.008935466299242","Buenos Aires","0","0.1832","0","3.44","0","0","100","84.3","Buenos Aires","0","2890151","0","165.96867274954016","0","49.865081171832237","Buenos Aires","24000","0.1832","4396.8","3.44","1278.1395348837209","1278.1395348837209","93.360756612268219","78.703117824142112","Buenos Aires","1","0.1832","0.1832","3.44","5.3255813953488371E-2","5.3255813953488371E-2","99.999769224806201","84.299805456511621"
