"","0.85199999999999998","X2","38","X4","X5","X6","X7","39","X9","X10","X11","X12","40","X14","X15","X16","X17","41","X19","X20","X21","X22","X23","X24"
"1","Employment Attribute Totals
(sorted by winner below)",NA,"Youth unemployment rate","raw data","difference","raw score","weighted score","Employment initiatives and programs scale","raw data","difference","raw score","weighted score","Youth Employment Centres","raw data","difference","raw score","weighted score","Number of new jobs created in 2013","raw data","population","per 1000","difference","raw score","weighted score"
"2","Accra","18.124166346285371","Accra","50.3","48.8","7.0476190476190652","6.0045714285714435","Accra","1","1","50","42.6","Accra","2","38","5","4.26","Accra",NA,"2269000","11.027899049349211","60.593722572272419","23.042363798791129","19.632093956570042"
"3","Amsterdam","39.820044365753695","Amsterdam","24","22.5","57.142857142857146","48.68571428571429","Amsterdam","2","0","100","85.2","Amsterdam","3","37","7.5","6.39","Amsterdam","8500","813562","10.447882275720842","61.173739345900785","22.30570795457804","19.00446317730049"
"4","Bangkok","47.226543255310631","Bangkok","2.8","1.2999999999999998","97.523809523809518","83.090285714285713","Bangkok","2","0","100","85.2","Bangkok","0","40","0","0","Bangkok",NA,"8280925","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"5","Beirut","28.600656932458435","Beirut","35","33.5","36.190476190476197","30.83428571428572","Beirut","1","1","50","42.6","Beirut","13","27","32.5","27.689999999999998","Beirut","3400","1900000","5.1561623165592891","66.465459305062339","15.584908468953074","13.278342015548018"
"6","Berlin","61.841705009825283","Berlin","11.3","9.8000000000000007","81.333333333333329","69.295999999999992","Berlin","2","0","100","85.2","Berlin","28","12","70","59.64","Berlin","80738","3421829","23.594983852203015","48.026637769418613","39.003309905283061","33.230820039301165"
"7","Bogota","41.671628075489807","Bogota","15","13.5","74.285714285714292","63.291428571428575","Bogota","2","0","100","85.2","Bogota","3","37","7.5","6.39","Bogota","29510.560000000001","7776845","3.7946699464885825","67.826951675133046","13.855732078087641","11.80508373053067"
"8","Boston","55.056657267402628","Boston","12.2","10.7","79.61904761904762","67.835428571428565","Boston","2","0","100","85.2","Boston","3","37","7.5","6.39","Boston","31700","645966","49.073790261406941","22.547831360214687","71.362911382842697","60.801200498181977"
"9","Buenos Aires","43.626673645965553","Buenos Aires","16.100000000000001","14.600000000000001","72.19047619047619","61.50628571428571","Buenos Aires","2","0","100","85.2","Buenos Aires","1","39","2.5","2.13","Buenos Aires","48000","2890151","16.608128779430555","55.01349284219107","30.129587875089783","25.670408869576494"
"10","Cairo","29.830478361029861","Cairo","30","28.5","45.714285714285715","38.948571428571427","Cairo","1","1","50","42.6","Cairo","0","40","0","24.495000000000001","Cairo","33918","10230350","5.1561623165592891","66.465459305062339","15.584908468953074","13.278342015548018"
