"","0.81799999999999995","X2","61","X4","X5","X6","X7","62","X9","X10","X11","X12","63","X14","X15","X16","X17","64","X19","X20","X21","X22","65","X24","X25","X26","X27","66","X29","X30","X31","X32"
"1","Financial Services Attribute Totals
(sorted by winner below)",NA,"Business banking availability","raw data","difference","raw score","weighted score","Personal Banking availability","raw data","difference","raw score","weighted score","Number of ""Chartered"" banks in your city","raw data","difference","raw score","weighted score","Online banking","raw data","difference","raw score","weighted score","Mobile banking","raw data","difference","raw score","weighted score","Financial literacy","raw data","difference","raw score","weighted score"
"2","Accra","12.341879708046818","Accra","18","10","23.07692307692308","18.876923076923077","Accra","18","17","0","0","Accra","1","540","0.18484288354898126","0.15120147874306666","Accra","1","397","0","0","Accra","1","166","0.59880239520958867","0.48982035928144352","Accra","2","1","66.666666666666657","54.533333333333324"
"3","Amsterdam","13.405015841902665","Amsterdam","18","10","23.07692307692308","18.876923076923077","Amsterdam","18","17","0","0","Amsterdam","12","529","2.2181146025877894","1.8144177449168115","Amsterdam","12","386","2.7707808564231726","2.2664987405541552","Amsterdam","6","161","3.5928143712574894","2.9389221556886262","Amsterdam","2","1","66.666666666666657","54.533333333333324"
"4","Bangkok","5.4072125050960134","Bangkok","20","12","7.6923076923076934","6.292307692307693","Bangkok","15","14","17.647058823529406","14.435294117647054","Bangkok","32","509","5.9149722735674573","4.8384473197781794","Bangkok","32","366","7.8085642317380319","6.3874055415617095","Bangkok","1","166","0.59880239520958867","0.48982035928144352","Bangkok","0","3","0","0"
"5","Beirut","14.48128024786495","Beirut","18","10","23.07692307692308","18.876923076923077","Beirut","18","17","0","0","Beirut","30","511","5.5452865064694947","4.5360443622920466","Beirut","23","375","5.5415617128463452","4.5329974811083105","Beirut","9","158","5.3892215568862412","4.4083832335329447","Beirut","2","1","66.666666666666657","54.533333333333324"
"6","Berlin","26.468620725494571","Berlin","8","0","100","81.8","Berlin","18","17","0","0","Berlin","36","505","6.6543438077633965","5.4432532347504576","Berlin","29","369","7.052896725440803","5.7692695214105765","Berlin","23","144","13.772455089820369","11.265868263473061","Berlin","2","1","66.666666666666657","54.533333333333324"
"7","Bogota","14.528402758827136","Bogota","18","10","23.07692307692308","18.876923076923077","Bogota","18","17","0","0","Bogota","23","518","4.2513863216266117","3.4776340110905681","Bogota","20","378","4.7858942065491163","3.914861460957177","Bogota","13","154","7.7844311377245532","6.3676646706586837","Bogota","2","1","66.666666666666657","54.533333333333324"
"8","Boston","14.509948146148382","Boston","18","10","23.07692307692308","18.876923076923077","Boston","18","17","0","0","Boston","18","523","3.3271719038816912","2.721626617375223","Boston","16","382","3.7783375314861445","3.0906801007556659","Boston","16","151","9.580838323353305","7.837125748503003","Boston","2","1","66.666666666666657","54.533333333333324"
"9","Buenos Aires","14.574452627735871","Buenos Aires","18","10","23.07692307692308","18.876923076923077","Buenos Aires","18","17","0","0","Buenos Aires","32","509","5.9149722735674573","4.8384473197781794","Buenos Aires","29","369","7.052896725440803","5.7692695214105765","Buenos Aires","7","160","4.191616766467078","3.4287425149700694","Buenos Aires","2","1","66.666666666666657","54.533333333333324"
"10","Cairo","1.8358321958912089","Cairo","21","13","0","0","Cairo","18","17","0","0","Cairo","34","507","6.284658040665434","5.1408502772643248","Cairo","20","378","4.7858942065491163","3.914861460957177","Cairo","4","163","2.3952095808383262","1.9592814371257508","Cairo","0","3","0","0"
