"","0.84099999999999997","X2","54","X4","X5","X6","X7","55","X9","X10","X11","X12","56","X14","X15","X16","X17","57","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"1","Entreprenuership Attribute Totals
(sorted by winner below)",NA,"Age at which you can register a business","raw data","difference","raw score","weighted score","Number of entrepreneurship Incubators","raw data","difference","raw score","weighted score","Total early stage entrepreneurial activity","raw data","difference","raw score","weighted score","Ease of doing business rank","raw data","difference","raw score","weighted score","Entrepreneurship programs and investment funds","raw data","difference","raw score","weighted score"
"2","Accra","23.821391126714943","Accra","21","21","0","0","Accra","6","110","3.5087719298245617","2.9508771929824564","Accra","25.8","14.099999999999998","61.369863013698641","51.612054794520553","Accra","956","866","48.421679571173321","40.722632519356765","Accra","2","0","50","42.05"
"3","Amsterdam","23.971078533886839","Amsterdam","18","18","14.285714285714292","12.01428571428572","Amsterdam","13","103","9.6491228070175481","8.1149122807017573","Amsterdam","9.3000000000000007","30.599999999999998","16.164383561643845","13.594246575342474","Amsterdam","528","438","73.913043478260875","62.160869565217396","Amsterdam","1","1","0","0"
"4","Bangkok","26.387170435021446","Bangkok","20","20","4.7619047619047592","4.0047619047619021","Bangkok","4","112","1.7543859649122879","1.475438596491234","Bangkok","17.7","22.2","39.178082191780824","32.948767123287674","Bangkok","429","339","79.8094103633115","67.119714115544966","Bangkok","1","1","0","0"
"5","Beirut","14.448084636098891","Beirut","18","18","14.285714285714292","12.01428571428572","Beirut","3","113","0.87719298245615107","0.73771929824562299","Beirut","9.6","30.299999999999997","16.986301369863028","14.285479452054807","Beirut","1155","1065","36.56938653960691","30.754854079809409","Beirut","2","0","0","0"
"6","Berlin","29.449279855385932","Berlin","14","14","33.333333333333329","28.033333333333328","Berlin","26","90","21.05263157894737","17.705263157894738","Berlin","5","34.9","4.3835616438356197","3.6865753424657561","Berlin","404","314","81.298391899940441","68.371947587849903","Berlin","2","0","0","0"
"7","Bogota","29.335646729241212","Bogota","18","18","14.285714285714292","12.01428571428572","Bogota","13","103","9.6491228070175481","8.1149122807017573","Bogota","23.7","16.2","55.616438356164387","46.77342465753425","Bogota","762","672","59.976176295413936","50.43996426444312","Bogota","2","0","0","0"
"8","Boston","29.837748413618922","Boston","18","18","14.285714285714292","12.01428571428572","Boston","20","96","15.789473684210535","13.278947368421059","Boston","12.7","27.2","25.479452054794521","21.428219178082191","Boston","319","229","86.360929124478858","72.629541393686722","Boston","2","0","100","84.1"
"9","Buenos Aires","17.981492052794287","Buenos Aires","18","18","14.285714285714292","12.01428571428572","Buenos Aires","9","107","6.1403508771929864","5.1640350877193013","Buenos Aires","15.9","24","34.246575342465761","28.801369863013704","Buenos Aires","1251","1161","30.85169743895176","25.946277546158431","Buenos Aires","2","0","0","0"
"10","Cairo","11.005133041806426","Cairo","21","21","0","0","Cairo","7","109","4.3859649122807127","3.6885964912280791","Cairo","9.6","30.299999999999997","16.986301369863028","14.285479452054807","Cairo","1249","1159","30.970815961882067","26.046456223942819","Cairo","0","2","0","0"
