"","0.85099999999999998","X2","42","X4","X5","X6","X7","43","X9","X10","X11","X12","44","X14","X15","X16","X17","X18","X19","45","X21","X22","X23","X24","X25","X26","46","X28","X29","X30","X31","X32","X33","47","X35","X36","X37","X38","48","X40","X41","X42","X43","X44","X45"
"1","Environment Attribute Totals
(sorted by winner below)",NA,"Municipal water scale","raw data","difference","raw score","weighted score","Smart cities initiatives scale","raw data","difference","raw score","weighted score","Quantity of annual recycled materials","raw data","population","per 1000","difference","raw score","weighted score","Quantity of annual waste","raw data","population","per 1000","difference","raw score","weighted score","Carbon emissions","raw data","population","per 1000","difference","raw score","weighted score","Recycled materials","raw data","difference","raw score","weighted score","Total registered vehicles","raw data","population","per 1000","difference","raw score","weighted score"
"2","Accra","42.508865124432702","Accra","3","0","100","85.1","Accra","3","3","50","42.55","Accra","36500","2269000","16.08638166593213","1253.4159175253969","1.2671408059819385","1.0783368258906296","Accra","730000","2269000","321.72763331864257","1427.0799978419298","18.396971032493298","15.655822348651796","Accra","na","2269000","na","na","na","72.277816963435129","Accra","9","24","25","21.274999999999999","Accra","605739","2269000","266.96297928602905","266.96297928602905","70.064723540600909","59.625079733051372"
"3","Amsterdam","50.116306618713921","Amsterdam","3","0","100","85.1","Amsterdam","6","0","100","85.1","Amsterdam","114712.242","813562","141","1128.502299191329","11.106714819643642","9.4518143115167383","Amsterdam","448272.66200000001","813562","551","1197.8076311605723","31.50718181818182","26.812611727272728","Amsterdam","5000000","813562","6145.8131033652016","6145.8055645285949","72.806160997222634","61.958043008636459","Amsterdam","11","22","31.25","26.59375","Amsterdam","249820","813562","307.06940589653891","307.06940589653891","65.567482119355475","55.797927283571511"
"4","Bangkok","26.839789322574948","Bangkok","0","3","0","0","Bangkok","6","0","100","85.1","Bangkok",NA,"8280925","0","1269.502299191329","1.4210854715202004E-14","3.6534214811242069","Bangkok",NA,"8280925","0","1748.8076311605723","0","9.5299069056248431","Bangkok","42750000","8280925","5162.4667534122091","5162.4592145756023","77.157252492685785","65.660821871275601","Bangkok","na","na","na","23.934374999999999","Bangkok","7384934","8280925","891.80061406183484","891.80061406183484","0","0"
"5","Beirut","24.035971079301365","Beirut","0","3","0","0","Beirut","2","4","33.333333333333329","28.366666666666664","Beirut","122749","1900000","64.604736842105254","1204.8975623492238","5.0889814759105576","4.3307232359998844","Beirut","695580","1900000","366.09473684210525","1382.7128943184671","20.933962679425832","17.814802240191383","Beirut","na","1900000","na","na","na","59.373450071615949","Beirut","7","26","18.75","15.956249999999999","Beirut","850000","1900000","447.36842105263156","447.36842105263156","49.835376428479073","42.409905340635689"
"6","Berlin","38.638421528188722","Berlin","1","2","33.333333333333329","28.366666666666664","Berlin","6","0","100","85.1","Berlin","474614","3421829","138.70184629331271","1130.8004528980164","10.925686891757948","9.2977595448860129","Berlin","866901","3421829","253.34433719510824","1495.4632939654641","14.486689826883918","12.328173042678214","Berlin","20170000","3421829","5894.5084631639975","5894.5009243273907","73.918128802667951","62.904327611070421","Berlin","8","25","21.875","18.615624999999998","Berlin","1120360","3421829","327.41554297423983","327.41554297423983","63.286015078754161","53.856398832019792"
"7","Bogota","46.547579016440629","Bogota","2","1","66.666666666666657","56.733333333333327","Bogota","5","1","83.333333333333329","70.916666666666657","Bogota","1404660","7776845","180.62080445219109","1088.8814947391379","14.227686280461754","12.107761024672952","Bogota","2351131","7776845","302.32452877741548","1446.4831023831568","17.287466236454037","14.711633767222384","Bogota","14698237.049999999","7776845","1890","1889.9924611633933","91.637198709640188","77.983256101903791","Bogota","11","22","31.25","26.59375","Bogota","1492483","7776845","191.91368736293447","191.91368736293447","78.480202375188355","66.786652221285294"
"8","Boston","40.42700642322837","Boston","2","1","66.666666666666657","56.733333333333327","Boston","6","0","100","85.1","Boston","48000","645966","74.307316484149311","1195.1949827071796","5.8532636397337114","4.9811273574133885","Boston","192000","645966","297.22926593659724","1451.5783652239752","16.996109843101777","14.463689476479612","Boston","6800000","645966","10526.869835254487","10526.862296417879","53.420947752493269","45.461226537371772","Boston","15","18","43.75","37.231249999999996","Boston","311943","645966","482.90931720864569","482.90931720864569","45.850080209166336","39.018418258000551"
"9","Buenos Aires","38.66545282330641","Buenos Aires","2","1","66.666666666666657","56.733333333333327","Buenos Aires","4","2","66.666666666666657","56.733333333333327","Buenos Aires","60000","2890151","20.760160974288194","1248.7421382170407","1.6352992024916091","1.3916396213203592","Buenos Aires","1556000","2890151","538.38017459987384","1210.4274565606984","30.785557256665527","26.198509225422363","Buenos Aires","9810000","2890151","3394.2863192961199","3394.2787804595132","84.981062333129714","72.318884045493391","Buenos Aires","8","25","21.875","18.615624999999998","Buenos Aires","1406329","2890151","486.59360704682905","486.59360704682905","45.436950886300906","38.666845204242072"
"10","Cairo","43.257982223808071","Cairo","1","2","33.333333333333329","28.366666666666664","Cairo","6","0","100","85.1","Cairo","3285000","10230350","321.10338355970225","948.39891563162678","25.293643324966382","21.524890469546392","Cairo","2190000","10230350","214.06892237313485","1534.7387087874374","12.240850197518355","10.416963518088121","Cairo","13000000","10230350","1270.7287629455493","1270.7212241089426","94.377337840742229","80.31511450247163","Cairo","5","28","12.5","10.637499999999999","Cairo","2000000","10230350","195.49673276085375","195.49673276085375","78.078425863553107","66.444740409883693"
