"","0.86899999999999999","X2","24","X4","X5","X6","X7","25","X9","X10","X11","X12","26","X14","X15","X16","X17","27","X19","X20","X21","X22","28","X24","X25","X26","X27","29","X29","X30","X31","X32"
"1","Health Attribute Totals
(sorted by winner below)",NA,"Number of public health clinics","Data","Difference","Raw score","Weighted score","Number of public sexual health clinics","Data","Difference","Raw score","Weighted score","Number of homeless shelters","Data","Difference","Raw score","Weighted score","Urban smoking scale","Data","Difference","Raw score","Weighted score","Mental health outpatient facilities","Data","Difference","Raw score","Weighted score","Doctor density","Data","Difference","Raw score","Weighted score"
"2","Accra","15.326729172740551","Accra","7","2125","0.32833020637899324","0.28531894934334512","Accra","0","351","0","0","Accra","N/A",NA,NA,"11.586666666666673","Accra","23","1","91.666666666666671","79.658333333333331","Accra","0.16","30.16","0.49488617617946318","0.43005608709995352","Accra","0.1","4.2","0","0"
"3","Amsterdam","22.931024206124587","Amsterdam","23","2109","1.0787992495309595","0.93747654784240386","Amsterdam","1","350","0.28490028490028863","0.24757834757835082","Amsterdam","13","101","11.403508771929836","9.9096491228070267","Amsterdam","21","3","75","65.174999999999997","Amsterdam","1.19","29.13","3.893104585945224","3.3831078851863996","Amsterdam","2.9","1.4","66.666666666666657","57.933333333333323"
"4","Bangkok","12.684435285666327","Bangkok","88","2044","4.1275797373358358","3.5868667917448414","Bangkok","30.8","320.2","8.7749287749287816","7.6254131054131111","Bangkok","10","104","8.7719298245614112","7.6228070175438667","Bangkok","19","5","58.333333333333329","50.691666666666663","Bangkok","0.14000000000000001","30.18","0.42890135268886809","0.37271527548662636","Bangkok","0.4","3.9","7.1428571428571388","6.2071428571428537"
"5","Beirut","11.575849905728033","Beirut","2","2130","9.3808630394008219E-2","8.151969981239314E-2","Beirut","0","351","0","0","Beirut","n/a",NA,NA,"4.5736842105263227","Beirut","12","12","0","0","Beirut","0.24","30.080000000000002","0.75882547014185775","0.65941933355327442","Beirut","3.2","1.0999999999999996","73.809523809523824","64.140476190476207"
"6","Berlin","51.890200348432053","Berlin","71","2061","3.3302063789868726","2.8939493433395924","Berlin","9","342","2.5641025641025692","2.2282051282051327","Berlin","114","0","100","86.9","Berlin","20","4","66.666666666666657","57.933333333333323","Berlin","30.32","0","100","86.9","Berlin","3.7","0.59999999999999964","85.714285714285722","74.485714285714295"
"7","Bogota","16.956995963235613","Bogota","24","2108","1.1257035647279565","0.97823639774859417","Bogota","2","349","0.56980056980056304","0.49515669515668925","Bogota","8","106","7.0175438596491233","6.098245614035088","Bogota","21","3","75","65.174999999999997","Bogota","0.02","30.3","3.2992411745283334E-2","2.8670405806651218E-2","Bogota","1.5","2.8","33.333333333333329","28.966666666666661"
"8","Boston","21.050372427462545","Boston","9","2123","0.42213883677298725","0.36683864915572589","Boston","27","324","7.6923076923076934","6.6846153846153857","Boston","8","106","7.0175438596491233","6.098245614035088","Boston","20","4","66.666666666666657","57.933333333333323","Boston","1.95","28.37","6.4005278785879085","5.562058726492892","Boston","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
"9","Buenos Aires","26.325285506312085","Buenos Aires","177.66300000000001","1954.337","8.3331613508442786","7.2415172138836779","Buenos Aires","45","306","12.820512820512818","11.141025641025639","Buenos Aires","32","82","28.070175438596493","24.392982456140352","Buenos Aires","19","5","58.333333333333329","50.691666666666663","Buenos Aires","0.13","30.19","0.39590894094357054","0.34404486967996278","Buenos Aires","3.2","1.0999999999999996","73.809523809523824","64.140476190476207"
"10","Cairo","19.27806425789969","Cairo","0","2132","0","2.7665748123827458","Cairo","6","345","1.7094017094017033","1.4854700854700802","Cairo","0","114","0","4.5736842105263227","Cairo","19","5","58.333333333333329","50.691666666666663","Cairo","0.11","30.21","0.32992411745297545","0.28670405806663568","Cairo","2.8","1.5","64.285714285714278","55.864285714285707"
"11","Caracas","19.381726709240617","Caracas","11","2121","0.51594746716698126","0.44835834896810672","Caracas","1","350","0.28490028490028863","0.24757834757835082","Caracas","1","113","0.87719298245615107","0.76228070175439533","Caracas","21","3","75","65.174999999999997","Caracas","0.01","30.31","0","0","Caracas","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
"12","Casablanca","11.871319852982131","Casablanca","12","2120","0.56285178236397826","0.48911819887429708","Casablanca","1","350","0.28490028490028863","0.24757834757835082","Casablanca","2","112","1.7543859649122879","1.5245614035087782","Casablanca","20","4","66.666666666666657","57.933333333333323","Casablanca","0.25","30.07","0.79181788188715529","0.688089739359938","Casablanca","0.6","3.6999999999999997","11.904761904761912","10.345238095238102"
"13","Chicago","31.858565687870186","Chicago","7","2125","0.32833020637899324","0.28531894934334512","Chicago","6","345","1.7094017094017033","1.4854700854700802","Chicago","100","14","87.719298245614041","76.228070175438603","Chicago","20","4","66.666666666666657","57.933333333333323","Chicago","1.95","28.37","6.4005278785879085","5.562058726492892","Chicago","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
"14","Dallas","22.355270286382659","Dallas","43","2089","2.016885553470928","1.7526735459662364","Dallas","13","338","3.7037037037036953","3.2185185185185112","Dallas","21","93","18.421052631578945","16.007894736842104","Dallas","20","4","66.666666666666657","57.933333333333323","Dallas","1.95","28.37","6.4005278785879085","5.562058726492892","Dallas","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
"15","Dar Es Salaam","11.441686723982817","Dar Es Salaam","110","2022","5.1594746716697983","4.4835834896810551","Dar Es Salaam","0","351","0","1.1141025641025644","Dar Es Salaam","0","114","0","11.586666666666673","Dar Es Salaam","19","5","58.333333333333329","50.691666666666663","Dar Es Salaam","0.28000000000000003","30.04","0.89079511712306214","0.77410095677994095","Dar Es Salaam","0.1","4.2","0","0"
"16","Detroit","25.64696584537603","Detroit","25","2107","1.1726078799249535","1.0189962476547847","Detroit","28","323","7.977207977207982","6.9321937321937366","Detroit","43","71","37.719298245614041","32.7780701754386","Detroit","20","4","66.666666666666657","57.933333333333323","Detroit","1.95","28.37","6.4005278785879085","5.562058726492892","Detroit","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
"17","Dubai","16.022456583891266","Dubai","20","2112","0.9380863039399685","0.81519699812383262","Dubai","0","351","0","0","Dubai","0","114","0","0","Dubai","20","4","66.666666666666657","57.933333333333323","Dubai","0.06","30.26","0.16496205872647351","0.14335202903330549","Dubai","1.9","2.4","42.857142857142854","37.24285714285714"
"18","Durban","16.757844294916506","Durban","30","2102","1.4071294559099528","1.2227954971857489","Durban","11","340","3.1339031339031322","2.723361823361822","Durban","6","108","5.2631578947368496","4.5736842105263227","Durban","20","4","66.666666666666657","57.933333333333323","Durban","6.85","23.47","22.566809633784231","19.610557571758498","Durban","0.8","3.5","16.666666666666657","14.483333333333325"
"19","Hong Kong","19.304193920945252","Hong Kong","15","2117","0.70356472795498348","0.61139774859288065","Hong Kong","8","343","2.2792022792022806","1.9806267806267819","Hong Kong","14","100","12.280701754385973","10.67192982456141","Hong Kong","21","3","75","65.174999999999997","Hong Kong","0.06","30.26","0.16496205872647351","0.14335202903330549","Hong Kong","1.9","2.4","42.857142857142854","37.24285714285714"
"20","Istanbul","17.577290840191996","Istanbul","65","2067","3.0487804878048905","2.6493902439024497","Istanbul","6","345","1.7094017094017033","1.4854700854700802","Istanbul","23","91","20.175438596491233","17.532456140350881","Istanbul","19","5","58.333333333333329","50.691666666666663","Istanbul","0.01","30.31","0","0","Istanbul","1.7","2.5999999999999996","38.095238095238102","33.104761904761908"
"21","Jakarta","20.389164122933728","Jakarta","341","1791","15.994371482176362","13.899108818011259","Jakarta","0","351","0","0","Jakarta","73","41","64.035087719298247","55.646491228070175","Jakarta","19","5","58.333333333333329","50.691666666666663","Jakarta","0.02","30.3","3.2992411745283334E-2","2.8670405806651218E-2","Jakarta","0.2","4.0999999999999996","2.3809523809523796","2.0690476190476179"
"22","Johannesburg","18.815898899585363","Johannesburg","80","2052","3.7523452157598598","3.260787992495318","Johannesburg","8","343","2.2792022792022806","1.9806267806267819","Johannesburg","30","84","26.31578947368422","22.868421052631586","Johannesburg","19","5","58.333333333333329","50.691666666666663","Johannesburg","6.85","23.47","22.566809633784231","19.610557571758498","Johannesburg","0.8","3.5","16.666666666666657","14.483333333333325"
"23","Karachi","22.759867170424133","Karachi","250","1882","11.726078799249535","10.189962476547846","Karachi","150","201","42.735042735042732","37.136752136752136","Karachi","5","109","4.3859649122807127","3.8114035087719391","Karachi","21","3","75","65.174999999999997","Karachi","2.02","28.3","6.6314747608050055","5.7627515671395502","Karachi","0.8","3.5","16.666666666666657","14.483333333333325"
"24","Lagos","13.037752521412832","Lagos","282","1850","13.227016885553482","11.494277673545977","Lagos","1","350","0.28490028490028863","0.24757834757835082","Lagos","3","111","2.6315789473684248","2.2868421052631613","Lagos","20","4","66.666666666666657","57.933333333333323","Lagos","0.03","30.29","6.598482349059509E-2","5.7340811613327131E-2","Lagos","0.4","3.9","7.1428571428571388","6.2071428571428537"
"25","Lima","15.662936440050212","Lima","36","2096","1.6885553470919348","1.4673545966228914","Lima","0","351","0","3.7844118844118833","Lima","4","110","3.5087719298245617","3.049122807017544","Lima","20","4","66.666666666666657","57.933333333333323","Lima","2.4700000000000002","27.85","8.1161332893434377","7.052919828439447","Lima","1.1000000000000001","3.1999999999999997","23.80952380952381","20.69047619047619"
"26","London","57.489277369713733","London","2132","0","100","86.9","London","351","0","100","86.9","London","73","41","64.035087719298247","55.646491228070175","London","20","4","66.666666666666657","57.933333333333323","London","0.6","29.72","1.946552292972612","1.6915539425931998","London","2.8","1.5","64.285714285714278","55.864285714285707"
"27","Los Angeles","24.168549099164036","Los Angeles","0","2132","0","1.1412757973733605","Los Angeles","0","351","0","6.3245014245014231","Los Angeles","32","82","28.070175438596493","24.392982456140352","Los Angeles","20","4","66.666666666666657","57.933333333333323","Los Angeles","1.95","28.37","6.4005278785879085","5.562058726492892","Los Angeles","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
"28","Madrid","26.420725289325542","Madrid","190","1942","8.9118198874296439","7.7443714821763603","Madrid","4","347","1.1396011396011403","0.99031339031339094","Madrid","9","105","7.8947368421052744","6.8605263157894836","Madrid","21","3","75","65.174999999999997","Madrid","1.1499999999999999","29.17","3.7611349389640196","3.2684262619597328","Madrid","3.7","0.59999999999999964","85.714285714285722","74.485714285714295"
"29","Manila","10.950450948082866","Manila","6","2126","0.28142589118199623","0.24455909943715473","Manila","2","349","0.56980056980056304","0.49515669515668925","Manila","5","109","4.3859649122807127","3.8114035087719391","Manila","19","5","58.333333333333329","50.691666666666663","Manila","0.05","30.27","0.13196964698119018","0.11468162322665426","Manila","0.6","3.6999999999999997","11.904761904761912","10.345238095238102"
"30","Mexico City","20.292338013615996","Mexico City","148","1984","6.9418386491557271","6.0324577861163267","Mexico City","6","345","1.7094017094017033","1.4854700854700802","Mexico City","10","104","8.7719298245614112","7.6228070175438667","Mexico City","21","3","75","65.174999999999997","Mexico City","0.03","30.29","6.598482349059509E-2","5.7340811613327131E-2","Mexico City","2.1","2.1999999999999997","47.61904761904762","41.38095238095238"
"31","Miami","22.994913895875431","Miami","12","2120","0.56285178236397826","0.48911819887429708","Miami","49","302","13.960113960113958","12.13133903133903","Miami","16","98","14.035087719298247","12.196491228070176","Miami","20","4","66.666666666666657","57.933333333333323","Miami","1.95","28.37","6.4005278785879085","5.562058726492892","Miami","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
"32","Montreal","22.404810237701735","Montreal","77","2055","3.6116322701688546","3.1385084427767347","Montreal","13","338","3.7037037037036953","3.2185185185185112","Montreal","28","86","24.561403508771932","21.343859649122809","Montreal","21","3","75","65.174999999999997","Montreal","7.0000000000000007E-2","30.25","0.19795447047178527","0.17202243483998139","Montreal","2.1","2.1999999999999997","47.61904761904762","41.38095238095238"
"33","Moscow","26.64022490618277","Moscow","160","1972","7.5046904315197054","6.5215759849906236","Moscow","0","351","0","0","Moscow","0","114","0","0","Moscow","20","4","66.666666666666657","57.933333333333323","Moscow","2.97","27.35","9.7657538766083718","8.4864401187726752","Moscow","4.3","0","100","86.9"
"34","Mumbai","13.932242788822302","Mumbai","122","2010","5.7223264540337766","4.9727016885553521","Mumbai","2","349","0.56980056980056304","0.49515669515668925","Mumbai","9","105","7.8947368421052744","6.8605263157894836","Mumbai","20","4","66.666666666666657","57.933333333333323","Mumbai","0.33","29.990000000000002","1.0557571758495357","0.91745298581324652","Mumbai","0.7","3.5999999999999996","14.285714285714292","12.41428571428572"
"35","Nairobi","14.017546204211804","Nairobi","78","2054","3.6585365853658658","3.1792682926829374","Nairobi","6","345","1.7094017094017033","1.4854700854700802","Nairobi","35","79","30.701754385964918","26.679824561403514","Nairobi","19","5","58.333333333333329","50.691666666666663","Nairobi","0.01","30.31","0","0","Nairobi","0.2","4.0999999999999996","2.3809523809523796","2.0690476190476179"
"36","New Delhi","24.762749352378716","New Delhi","251","1881","11.772983114446532","10.230722326454037","New Delhi","0","351","0","0","New Delhi","88","26","77.192982456140356","67.08070175438597","New Delhi","20","4","66.666666666666657","57.933333333333323","New Delhi","0.33","29.990000000000002","1.0557571758495357","0.91745298581324652","New Delhi","0.7","3.5999999999999996","14.285714285714292","12.41428571428572"
"37","New York City","27.958412174526686","New York City","51","2081","2.392120075046904","2.0787523452157597","New York City","12","339","3.4188034188034209","2.9709401709401728","New York City","27","87","23.684210526315795","20.581578947368424","New York City","24","0","100","86.9","New York City","1.95","28.37","6.4005278785879085","5.562058726492892","New York City","2.5","1.7999999999999998","57.142857142857146","49.657142857142858"
