"","0.83299999999999996","X2","58","X4","X5","X6","X7","X8","X9","59","X11","X12","X13","X14","60","X16","X17","X18","X19"
"1","Public Space Attribute Totals
(sorted by winner below)",NA,"Total green space/public space","raw data","population","per 1000","difference","raw score","weighted score","Number of municipally maintained sports facilities/fields","raw data","difference","raw score","weighted score","Number of public libraries","raw data","difference","raw score","weighted score"
"2","Accra","0.63238102360528425","Accra","n/a","2269000","na","na","na","0","Accra","n/a","na","na","0.69734883213272525","Accra","9","479","1.4403292181069958","1.1997942386831275"
"3","Amsterdam","1.689173361219674","Amsterdam","13.9217382","813562","1.7112080210235973E-2","1.7865809680962881","0.94872222422193886","0.79028561277687503","Amsterdam","30","15240","0.19646365422397594","0.16365422396857196","Amsterdam","26","462","4.9382716049382651","4.1135802469135747"
"4","Bangkok","6.2362950808666371","Bangkok","18.809999999999999","8280925","2.2714853715013719E-3","1.8014215629350228","0.12593282481641666","0.10490204307207507","Bangkok","n/a","na","na","17.232789783889977","Bangkok","10","478","1.6460905349794217","1.3711934156378582"
"5","Beirut","0.13930957871863128","Beirut","1.52","1900000","7.9999999999999993E-4","1.8028930483065242","4.4351016391075859E-2","3.6944396653766191E-2","Beirut","7","15263","4.5841519318926771E-2","3.8185985592665998E-2","Beirut","4","484","0.41152263374485187","0.34279835390946162"
"6","Berlin","10.303173045802879","Berlin","286.45","3421829","8.3712540866302781E-2","1.7199805074402212","4.6411721306307214","3.8660963848153909","Berlin","2381","12889","15.592665356908981","12.98869024230518","Berlin","84","404","16.872427983539097","14.054732510288067"
"7","Bogota","2.7997119959203047","Bogota","783.29","7776845","0.10072079358660227","1.7029722547199218","5.584140400618594","4.6515889537152884","Bogota","90","15180","0.5893909626719136","0.49096267190570403","Bogota","21","467","3.9094650205761354","3.2565843621399209"
"8","Boston","1.8235420541896852","Boston","20.234000000000002","645966","3.1323630036255781E-2","1.7723694182702683","1.7366362312436081","1.4466179806259254","Boston","15","15255","9.8231827111987968E-2","8.182711198428598E-2","Boston","25","463","4.7325102880658392","3.9421810699588438"
"9","Buenos Aires","2.2461534479601988","Buenos Aires","47.622100000000003","2890151","1.6477374365560831E-2","1.7872156739409633","0.91353298508332159","0.76097297657440688","Buenos Aires","216","15054","1.4145383104125813","1.1783104125736801","Buenos Aires","30","458","5.7613168724279831","4.79917695473251"
"10","Cairo","1.0917847375741705","Cairo","5.68","10230350","5.5521072104082459E-4","1.8031378375854832","3.0779456355631396E-2","2.5639287144240953E-2","Cairo","93","15177","0.60903732809430267","0.5073280943025541","Cairo","18","470","3.2921810699588434","2.7423868312757165"
"11","Caracas","0.59331026494169248","Caracas","35.28","2906376","1.2138828561755259E-2","1.7915542197447689","0.67299616462587153","0.56060580513335101","Caracas","35","15235","0.22920759659463386","0.19092992796333","Caracas","8","480","1.2345679012345698","1.0283950617283966"
"12","Casablanca","0.54134891131188811","Casablanca","3.8","4055807","9.3692821182073008E-4","1.8027561200947033","5.194256392606178E-2","4.3268155750409459E-2","Casablanca","7","15263","4.5841519318926771E-2","3.8185985592665998E-2","Casablanca","11","477","1.8518518518518476","1.542592592592589"
"13","Chicago","8.2660594883583229","Chicago","28.676020000000001","2718782","1.0547377465350293E-2","1.7931456708411737","0.58476323959671106","0.48710777858406029","Chicago","2320","12950","15.193189259986909","12.655926653569095","Chicago","70","418","13.991769547325106","11.655144032921813"
"14","Dallas","3.5955065585837716","Dallas","94.417207000000005","1258000","7.505342368839428E-2","1.7286396246181299","4.1610950245838723","3.4661921554783652","Dallas","525","14745","3.438113948919451","2.8639489194499026","Dallas","28","460","5.3497942386831312","4.4563786008230482"
"15","Dar Es Salaam","0.81942584713924083","Dar Es Salaam","4","4364541","9.164766695971008E-4","1.8027765716369271","5.0808693462911947E-2","4.232364165460565E-2","Dar Es Salaam","3","15267","1.9646365422403278E-2","1.636542239686193E-2","Dar Es Salaam","16","472","2.8806584362139915","2.399588477366255"
"16","Detroit","2.7900575198826267","Detroit","23.96144","688701","3.4792224782597969E-2","1.7689008235239261","1.9289413928045889","1.6068081802062224","Detroit","580","14690","3.7982973149967307","3.1639816633922764","Detroit","23","465","4.3209876543209873","3.5993827160493823"
"17","Dubai","0.58786315010296508","Dubai","29.0764","2213845","1.3133891487434757E-2","1.7905591568190893","0.72816425161208542","0.60656082159286717","Dubai","55","15215","0.36018336607727974","0.300032743942374","Dubai","7","481","1.0288065843621297","0.85699588477365396"
"18","Durban","6.3777985512633428","Durban","186.6","3161844","5.9016194347349199E-2","1.7446768539591748","3.2719620456815193","2.7255443840527054","Durban","180","15090","1.178781925343813","0.98192534381139618","Durban","92","396","18.518518518518519","15.425925925925926"
"19","Hong Kong","5.6439661650556445","Hong Kong","23.02","7071600","3.2552746196051812E-3","1.8004377736869188","0.18047587874281135","0.15033640699276185","Hong Kong","1034","14236","6.7714472822527796","5.6406155861165654","Hong Kong","67","421","13.374485596707814","11.140946502057608"
"20","Istanbul","0.79000765372809345","Istanbul","6.3000000000000003E-4","14377018","4.3819935399677453E-8","1.8036930044865886","0","0","Istanbul","26","15244","0.17026850032743823","0.14183366077275605","Istanbul","15","473","2.6748971193415656","2.2281893004115241"
