"","0.5","X2","X3","X4","X5","X6"
"1",NA,"Youth population","raw data","difference","raw score","weighted score"
"2",NA,"Accra","32.200000000000003","3.0899999999999963","85.458823529411774","42.729411764705887"
"3",NA,"Amsterdam","23","12.29","42.164705882352941","21.08235294117647"
"4",NA,"Bangkok","25.3","9.9899999999999984","52.988235294117651","26.494117647058825"
"5",NA,"Beirut","24.6","10.689999999999998","49.694117647058832","24.847058823529416"
"6",NA,"Berlin","18.399999999999999","16.89","20.517647058823528","10.258823529411764"
"7",NA,"Bogota","24.94","10.349999999999998","51.294117647058833","25.647058823529417"
"8",NA,"Boston","27.32","7.9699999999999989","62.494117647058829","31.247058823529414"
"9",NA,"Buenos Aires","23.35","11.939999999999998","43.811764705882361","21.90588235294118"
"10",NA,"Cairo","26.53","8.759999999999998","58.776470588235306","29.388235294117653"
"11",NA,"Caracas","25.62","9.6699999999999982","54.494117647058829","27.247058823529414"
"12",NA,"Casablanca","24.7","10.59","50.164705882352941","25.08235294117647"
"13",NA,"Chicago","24.05","11.239999999999998","47.10588235294118","23.55294117647059"
"14",NA,"Dallas","23.65","11.64","45.223529411764702","22.611764705882351"
"15",NA,"Dar Es Salaam","35.29","0","100","50"
"16",NA,"Detroit","22.91","12.379999999999999","41.741176470588236","20.870588235294118"
"17",NA,"Dubai","33.4","1.8900000000000006","91.10588235294118","45.55294117647059"
"18",NA,"Durban","27.71","7.5799999999999983","64.329411764705895","32.164705882352948"
"19",NA,"Hong Kong","19.3","15.989999999999998","24.7529411764706","12.3764705882353"
"20",NA,"Istanbul","25.99","9.3000000000000007","56.235294117647051","28.117647058823525"
"21",NA,"Jakarta","25.18","10.11","52.423529411764704","26.211764705882352"
"22",NA,"Johannesburg","27.71","7.5799999999999983","64.329411764705895","32.164705882352948"
"23",NA,"Karachi","28.8","6.4899999999999984","69.458823529411774","34.729411764705887"
"24",NA,"Lagos","30.43","4.8599999999999994","77.129411764705878","38.564705882352939"
"25",NA,"Lima","28.8","6.4899999999999984","69.458823529411774","34.729411764705887"
"26",NA,"London","23.67","11.619999999999997","45.317647058823539","22.658823529411769"
"27",NA,"Los Angeles","24.4","10.89","48.752941176470586","24.376470588235293"
"28",NA,"Madrid","15.98","19.309999999999999","9.1294117647058783","4.5647058823529392"
"29",NA,"Manila","27.18","8.11","61.835294117647059","30.91764705882353"
"30",NA,"Mexico City","25.5","9.7899999999999991","53.929411764705883","26.964705882352941"
"31",NA,"Miami","20.059999999999999","15.23","28.329411764705881","14.164705882352941"
"32",NA,"Montreal","20.6","14.689999999999998","30.870588235294122","15.435294117647061"
"33",NA,"Moscow","18.3","16.989999999999998","20.047058823529412","10.023529411764706"
"34",NA,"Mumbai","30","5.2899999999999991","75.10588235294118","37.55294117647059"
"35",NA,"Nairobi","27.55","7.7399999999999984","63.576470588235303","31.788235294117651"
"36",NA,"New Delhi","30.38","4.91","76.89411764705882","38.44705882352941"
"37",NA,"New York City","22.71","12.579999999999998","40.800000000000004","20.400000000000002"
"38",NA,"Osaka","16.38","18.91","11.011764705882342","5.5058823529411711"
"39",NA,"Paris","21.3","13.989999999999998","34.164705882352948","17.082352941176474"
"40",NA,"Quito","20.059999999999999","15.23","28.329411764705881","14.164705882352941"
"41",NA,"Rio De Janeiro","25.02","10.27","51.670588235294119","25.835294117647059"
"42",NA,"Rome","14.04","21.25","0","0"
"43",NA,"San Francisco","22","13.29","37.458823529411767","18.729411764705883"
"44",NA,"Santiago","25.15","10.14","52.28235294117647","26.141176470588235"
"45",NA,"Sao Paulo","25.02","10.27","51.670588235294119","25.835294117647059"
"46",NA,"Seoul","19.5","15.79","25.694117647058832","12.847058823529416"
"47",NA,"Shanghai","23.36","11.93","43.858823529411765","21.929411764705883"
"48",NA,"Singapore","14.64","20.65","2.8235294117647101","1.411764705882355"
"49",NA,"Sydney","14.53","20.759999999999998","2.3058823529411825","1.1529411764705912"
"50",NA,"Tehran","26.4","8.89","58.164705882352941","29.08235294117647"
"51",NA,"Tel Aviv","20.5","14.79","30.400000000000006","15.200000000000003"
"52",NA,"Tokyo","16.36","18.93","10.917647058823533","5.4588235294117666"
"53",NA,"Toronto","20.85","14.439999999999998","32.047058823529426","16.023529411764713"
"54",NA,"Vancouver","22.01","13.279999999999998","37.505882352941185","18.752941176470593"
"55",NA,"Warsaw","16.57","18.72","11.905882352941177","5.9529411764705884"
"56",NA,"Washington","20.239999999999998","15.05","29.17647058823529","14.588235294117645"
"57",NA,"highest","35.29",NA,NA,NA
"58",NA,"lowest","14.04",NA,NA,NA
"59",NA,"difference","21.25",NA,NA,NA
"60",NA,"count","55",NA,NA,NA
"61",NA,"ratio","4.7058823529411766",NA,NA,NA
