"","0.877","X2","6","X4","X5","X6","X7","7","X9","X10","X11","X12","X13","X14","X15","X16","8","X18","X19","X20","X21","9","X23","X24","X25","X26","X27","X28","X29","X30","10","X32","X33","X34","X35","X36","X37","X38","X39","11","X41","X42","X43","X44","X45","X46","X47","X48","12","X50","X51","X52","X53","X54","X55","X56","X57","13","X59","X60","X61","X62","X63","X64","X65","X66"
"1","Affordibility Attribute Totals
(sorted by winner below)",NA,"Consumption tax rate","raw data","difference","score","weighted score","Rental housing","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","GINI coefficient","raw data","difference","score","weighted score","Cost of one minute prepaid cellular","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Food 12 eggs","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Monthly transit pass","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Price per square meter to buy an apartment","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Tube of toothpaste","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"2","Accra",33.5183643004638,"Accra","0.15","0.15","34.782608695652186","30.504347826086967","Accra","8199.2199999999993","0.48759999999999998","3997.9396719999995","0.37","10805.242356756755","10805.242356756755","-2.4860266401560693E-4","-2.1802453634168727E-4","Accra","0.42799999999999999","0.14500000000000002","74.694589877835952","65.507155322862133","Accra","0.36","0.48759999999999998","0.175536","0.36599999999999999","0.47960655737704916","0.46901883807880357","54.083422252716012","47.43116131563194","Accra","8.3000000000000007","0.48759999999999998","4.0470800000000002","0.37","10.938054054054055","10.669342397612336","68.61711308503493","60.177208175575636","Accra","99.44","0.48759999999999998","48.486943999999994","0.37","131.04579459459458","131.04512495173745","0","0","Accra","3,333.33","0.48759999999999998","1625.3317079999999","0.37","4392.7883999999995","4389.9133999999995","73.577263156317343","64.527259788090305","Accra","23.44","0.48759999999999998","11.429344","0.37","30.890118918918919","30.73841537596055","0","0"
"3","Amsterdam",74.2921633072195,"Amsterdam","0.21","0.21","8.6956521739130608","7.6260869565217542","Amsterdam","1787.09","1.3277000000000001","2372.7193929999999","9.2799999999999994","255.68096907327586","255.68096907327586","97.633726331523761","85.624777992746331","Amsterdam","0.33800000000000002","5.5000000000000049E-2","90.401396160558448","79.282024432809763","Amsterdam","0.35","1.3277000000000001","0.46469500000000002","9.2810000000000006","5.0069496821463201E-2","3.948177752321759E-2","96.134764832321736","84.310188757946165","Amsterdam","2.56","1.3277000000000001","3.3989120000000002","9.2799999999999994","0.36626206896551727","9.7550412523799479E-2","99.713064456022366","87.44835752793162","Amsterdam","90","1.3277000000000001","119.49300000000001","9.2799999999999994","12.876400862068968","12.875731219211826","90.174582057933236","79.083108464807452","Amsterdam","5171.43","1.3277000000000001","6866.1076110000013","9.2799999999999994","739.88228566810369","737.00728566810369","95.563978651359008","83.809609277241847","Amsterdam","2.4","1.3277000000000001","3.18648","9.2799999999999994","0.34337068965517242","0.19166714669680215","99.376457295040979","87.153153047750934"
"4","Bangkok",73.8544442974856,"Bangkok","7.0000000000000007E-2","7.0000000000000007E-2","69.565217391304344","61.008695652173913","Bangkok","39179","3.2599999999999997E-2","1277.2353999999998","1.22","1046.9142622950819","1046.9142622950819","90.311028384317837","79.202771893046744","Bangkok","0.4","0.11700000000000005","79.581151832460719","69.792670157068045","Bangkok","1.89","3.2599999999999997E-2","0.14139760000000001","1.224","0.17307066240000002","0.1624829431017544","84.093046837735542","73.749602076694075","Bangkok","76.55","3.2599999999999997E-2","2.4955299999999996","1.22","2.0455163934426226","1.7768047370009048","94.773692693211132","83.116528491946156","Bangkok","999.94","3.2599999999999997E-2","32.598044000000002","1.22","26.719708196721314","26.71903855386417","79.610810731261836","69.818681011316627","Bangkok","114500","3.2599999999999997E-2","3732.7","1.22","3059.5901639344261","3056.7151639344261","81.601737204489353","71.564723528337169","Bangkok","72.81","3.2599999999999997E-2","2.3736059999999997","1.22","1.94557868852459","1.7938751455662199","94.164061082442302","82.581881569301899"
"5","Beirut",61.836138708979,"Beirut","0.1","0.1","56.521739130434781","49.5695652173913","Beirut","2318900","6.9999999999999999E-4","1623.23","1.4","1159.45","1159.45","89.269533767573876","78.289381114162282","Beirut","0.85599999999999998","0.57299999999999995","0","0","Beirut","450.91","6.9999999999999999E-4","0.315637","1.4","0.22545500000000002","0.2148672807017544","78.96466112085686","69.252007802991471","Beirut","5909.09","6.9999999999999999E-4","4.1363630000000002","1.4","2.9545450000000004","2.6858333435582828","92.099868862377591","80.771584992305151","Beirut","118636","6.9999999999999999E-4","83.045199999999994","1.4","59.317999999999998","59.317330357142858","54.735187303618652","48.002759265273561","Beirut","5750","6.9999999999999999E-4","4.0250000000000004","1.4","2.8750000000000004","0","100","87.7","Beirut","4927.2700000000004","6.9999999999999999E-4","3.4490890000000003","1.4","2.4636350000000005","2.3119314570416303","92.47869017070505","81.103811279708324"
"6","Berlin",77.3953743852041,"Berlin","0.19","0.19","17.391304347826093","15.252173913043483","Berlin","1115.2","1.3277000000000001","1480.6510400000002","11.29","131.14712488928257","131.14712488928257","98.786260903786953","86.635550812621162","Berlin","0.28299999999999997","0","100","87.7","Berlin","0.09","1.3277000000000001","0.119493","11.286","1.0587719298245615E-2","0","100","87.7","Berlin","3.91","1.3277000000000001","5.191307000000001","11.29","0.45981461470327734","0.19110295826155954","99.437888268579712","87.207028011544409","Berlin","79.5","1.3277000000000001","105.55215000000001","11.29","9.349171833480959","9.348502190623817","92.866196133532796","81.443654009108258","Berlin","3528.85","1.3277000000000001","4685.2541449999999","11.29","414.99150974313557","412.11650974313557","97.519484988956762","85.524588335315087","Berlin","1.29","1.3277000000000001","1.7127330000000003","11.29","0.15170354295837027","0","100","87.7"
"7","Bogota",69.7455514101761,"Bogota","0.16","0.16","30.434782608695656","26.69130434782609","Bogota","3400600","5.0000000000000001E-4","1700.3","1.72","988.54651162790697","988.54651162790697","90.851209657849935","79.67651086993439","Bogota","0.53500000000000003","0.25200000000000006","56.020942408376953","49.130366492146585","Bogota","290.35000000000002","5.0000000000000001E-4","0.14517500000000003","1.7170000000000001","8.4551543389633096E-2","7.3963824091387478E-2","92.758999418253623","81.349642489808431","Bogota","4777.8900000000003","5.0000000000000001E-4","2.3889450000000001","1.72","1.388921511627907","1.1202098551861892","96.705005997913716","84.810290260170333","Bogota","95589.9","5.0000000000000001E-4","47.79495","1.72","27.787761627906978","27.787091985049834","78.795783517102578","69.10390214449896","Bogota","4138674.57","5.0000000000000001E-4","2069.3372850000001","1.72","1203.1030726744186","1200.2280726744186","92.775868763908505","81.364436905947755","Bogota","2766.93","5.0000000000000001E-4","1.3834649999999999","1.72","0.80434011627906976","0.65263657332069946","97.876804756073724","85.83795777107666"
"8","Boston",79.3284610071227,"Boston","6.25E-2","6.25E-2","72.826086956521749","63.868478260869573","Boston","3038","1","3038","8","379.75","379.75","96.485493508332553","84.617777806807652","Boston","0.47720000000000001","0.19420000000000004","66.108202443280973","57.976893542757416","Boston","0.56999999999999995","1","0.56999999999999995","8","7.1249999999999994E-2","6.0662280701754376E-2","94.061210122008632","82.491681277001575","Boston","3.33","1","3.33","8","0.41625000000000001","0.14753834355828221","99.566029565932098","87.319407929322452","Boston","26","1","26","8","3.25","3.2493303571428571","97.520449266358014","85.525434006595972","Boston","2955.42","1","2955.42","8","369.42750000000001","366.55250000000001","97.793733186879265","85.765104004893118","Boston","3","1","3","8","0.375","0.22329645704162973","99.27355898373257","87.062911228733469"
"9","Buenos Aires",72.6739403272894,"Buenos Aires","0.21","0.21","8.6956521739130608","7.6260869565217542","Buenos Aires","8951.4599999999991","0.1832","1639.9074719999999","3.44","476.71728837209298","476.71728837209298","95.588081620345434","83.830747581042942","Buenos Aires","0.36699999999999999","8.4000000000000019E-2","85.340314136125656","74.843455497382195","Buenos Aires","2.81","0.1832","0.51479200000000003","3.4350000000000001","0.14986666666666668","0.13927894736842106","86.364699887965969","75.741841801746162","Buenos Aires","17.170000000000002","0.1832","3.1455440000000006","3.44","0.91440232558139556","0.64569066913967776","98.100760431477639","86.034366898405892","Buenos Aires","178.8","0.1832","32.756160000000001","3.44","9.5221395348837223","9.5214698920265803","92.734205186546816","81.32789794860156","Buenos Aires","3486.11","0.1832","638.65535199999999","3.44","185.65562558139536","182.78062558139536","98.899849739664361","86.73516822168564","Buenos Aires","18.96","0.1832","3.4734720000000001","3.44","1.0097302325581397","0.85802668959976935","97.208617688630753","85.251957712929169"
"10","Cairo",77.6639082768189,"Cairo","0.1","0.1","56.521739130434781","49.5695652173913","Cairo","4345.9799999999996","0.14630000000000001","635.81687399999998","0.91","698.69986153846151","698.69986153846151","93.533679528363223","82.029036946374546","Cairo","0.308","2.5000000000000022E-2","95.636998254799295","83.873647469458987","Cairo","0.47","0.14630000000000001","6.8761000000000003E-2","0.91400000000000003","7.5230853391684907E-2","6.4643134093439289E-2","93.671487685680546","82.149894700341832","Cairo","12.62","0.14630000000000001","1.846306","0.91","2.0289076923076923","1.7601960358659745","94.82254565622398","83.159372540508429","Cairo","128.35","0.14630000000000001","18.777605000000001","0.91","20.634730769230771","20.634061126373627","84.254232170809146","73.890961613799618","Cairo","5846.67","0.14630000000000001","855.36782100000005","0.91","939.96463846153847","937.08963846153847","94.359689893652359","82.753448036733118","Cairo","9.26","0.14630000000000001","1.354738","0.91","1.4887230769230768","1.3370195339647066","95.650330319205906","83.885339689943578"
