"","Country","Region","Safety","Affordability","Transit","Health","Travel","Employment","Environment","Education","Entrepreneurship","Public.space","Financial.Services","Diversity","Digital.access","Music","Arts","Sports","Film","Civic.engagement","Food.and.nightlife","Fashion","Youth.population"
"1","Accra","Africa",65.8822387112128,33.5183643004638,13.5890784990439,15.3267291727406,34.2221129831233,18.1241663462854,42.5088651244327,17.498375442581,23.8213911267149,0.632381023605284,12.3418797080468,10.2798266316281,38.2287651314817,3.89165239726028,1.115625,28.6176969764383,2.9813725312014,14.937762564433,13.4698252363984,1.98333333333333,42.7294117647059
"2","Amsterdam","Europe",81.1519674334672,74.2921633072195,64.0087150805067,22.9310242061246,64.0442813444886,39.8200443657537,50.1163066187139,50.6248205565303,23.9710785338868,1.68917336121967,13.4050158419027,52.586757018875,67.4308905491829,23.8954109589041,41.4890625,38.9648785506564,42.7012053077137,30.9078125,42.6552767658134,12.2814102564103,21.0823529411765
"3","Bangkok","Asia",56.742609703836,73.8544442974856,33.4966266333276,12.6844352856663,53.3815064138556,47.2265432553106,26.8397893225749,51.4038616098755,26.3871704350214,6.23629508086664,5.40721250509601,31.5349729315691,34.965231109283,4.59680650684932,40.93125,39.4961161753953,25.2228592618483,17.5091479987972,25.640538510801,4.65320512820513,26.4941176470588
"4","Beirut","Middle East ",74.6580266244939,61.836138708979,39.7000374006835,11.575849905728,34.3006728744639,28.6006569324584,24.0359710793014,39.4007747821357,14.4480846360989,0.139309578718631,14.4812802478649,11.5262949981055,19.6615319107287,33.0225,1.6734375,44.3276261828788,24.074939563477,4.43903028350516,38.4118875832673,1.98333333333333,24.8470588235294
"5","Berlin","Europe",73.0415157765014,77.3953743852041,55.9048594795546,51.8902003484321,54.9295789512013,61.8417050098253,38.6384215281887,50.4967998521556,29.4492798553859,10.3031730458029,26.4686207254946,49.6708978432989,68.3113070778613,42.5952996575343,52.6453125,42.9149142425355,55.0261771079459,26.7244217139175,40.2461221445969,6.63653846153846,10.2588235294118
"6","Bogota","Latin America",65.095448349933,69.7455514101761,52.6469364627443,16.9569959632356,53.5219689960496,41.6716280754898,46.5475790164406,57.2572199899892,29.3356467292412,2.7997119959203,14.5284027588271,28.7030789553122,56.1232028573457,12.8191695205479,43.1625,40.6861422784774,36.7275858075349,26.5125157860825,32.2184785294524,0,25.6470588235294
"7","Boston","USA/Can",73.2130609735964,79.3284610071227,53.0047356427082,21.0503724274625,64.7471849038129,55.0566572674026,40.4270064232284,59.4752125435873,29.8377484136189,1.82354205418969,14.5099481461484,45.8756787589983,61.615220320095,7.73673801369863,40.93125,41.8883672545344,35.7645755875156,25.3011591494845,30.1628612949623,0,31.2470588235294
"8","Buenos Aires","Latin America",64.4394855502247,72.6739403272894,53.3442046674206,26.3252855063121,52.3039715095543,43.6266736459656,38.6654528233064,57.4692836155684,17.9814920527943,2.2461534479602,14.5744526277359,40.8567460525473,59.0608433581467,45.502397260274,6.1359375,46.29897636334,37.2635785600781,16.9663385953608,39.3484405695899,2.66987179487179,21.9058823529412
"9","Cairo","Africa",70.0976334732973,77.6639082768189,29.2604148817801,19.2780642578997,54.7628016272002,29.8304783610299,43.2579822238081,50.1442913511252,11.0051330418064,1.09178473757417,1.83583219589121,8.63949135886225,49.5453367317301,4.17770547945206,38.7,44.3081078366925,22.3761440170686,18.0466039787371,22.4187569717769,0,29.3882352941177
"10","Caracas","Latin America",39.7590535714286,39.7813311338696,35.0569931971889,19.3817267092406,29.4199149535823,46.9420023012713,32.3227437187983,27.5373385569113,13.9511017306518,0.593310264941692,15.9886063906421,27.9823113342615,24.111746031746,6.01376712328767,46.509375,4.85988315481986,5.92562511532853,31.7959104381443,11.0078501053279,2.05961538461539,27.2470588235294
"11","Casablanca","Africa",76.3277193897996,73.0831724382442,32.7412484513447,11.8713198529821,52.1611255437769,41.2984134040101,47.7080329582798,42.0350654288324,20.8042365741632,0.541348911311888,20.3158562451277,9.93535846415339,23.4053996537699,10.2579965753425,42.6046875,39.9341127912053,23.6677680026994,17.0380927835052,26.3669597267427,8.925,25.0823529411765
"12","Chicago","USA/Can",71.5355958936423,77.0192613352127,46.2867260977321,31.8585656878702,58.5304664883261,52.3423843809702,61.8126882305204,49.7144415954726,32.0245591905613,8.26605948835832,24.9086087488981,56.9203133401035,60.0507001913399,23.5627910958904,42.6046875,44.2878308491283,52.7915387199579,15.7881105025773,39.1515350438279,2.66987179487179,23.5529411764706
"13","Dallas","USA/Can",72.6490858718051,78.6528830204331,38.5358713976002,22.3552702863827,60.2788889359274,51.0439285714286,39.9139288847879,49.6880783521454,31.4976168346716,3.59550655858377,19.6232244527798,48.5656677895755,56.2264913742867,11.4288184931507,39.2578125,42.4049433661972,44.2235403113366,14.1913568513746,28.2900966558521,7.55192307692307,22.6117647058824
"14","Dar Es Salaam","Africa",40.247172334679,41.0209254518876,31.066010356772,11.4416867239828,41.448968775303,33.6275234891425,45.0130717139603,29.6342990373373,22.2142389102596,0.819425847139241,15.9921745006487,15.7065830646068,20.5830909806599,5.28732534246576,41.4890625,31.6519083616914,5.60424818188898,16.4944635953608,17.4926161227786,0.68653846153846,50
