"","0.755","X2","89","X4","X5","X6","X7","90","X9","X10","X11","X12","91","X14","X15","X16","X17","92","X19","X20","X21","X22","93","X24","X25","X26","X27"
"1","Civic Engagement Attribute Totals
(sorted by winner below)",NA,"Voting age","raw data","difference","raw score","weighted score","Average age of city councillors (elected officials) in your city","raw data","difference","raw score","weighted score","Volunteer opportunities","raw data","difference","raw score","weighted score","Political influence - Youth advisory board","raw data","difference","raw score","weighted score","Volunteerism in high school scale","raw data","difference","raw score","weighted score"
"2","Accra","14.93776256443299","Accra","18","2","60","45.3","Accra","51","12","38.144329896907209","28.798969072164944","Accra","1","127","0.78125","0.58984375","Accra","0","1200","0","0","Accra","0","200","0","0"
"3","Amsterdam","30.907812499999999","Amsterdam","18","2","60","45.3","Amsterdam","39","0","100","75.5","Amsterdam","38","90","29.6875","22.4140625","Amsterdam",NA,"1200","0","0","Amsterdam","30","170","15","11.324999999999999"
"4","Bangkok","17.50914799879725","Bangkok","18","2","60","45.3","Bangkok","48.605740733333334","9.6057407333333344","50.485872508591058","38.116833743986248","Bangkok","7","121","5.46875","4.12890625","Bangkok",NA,"1200","0","0","Bangkok","0","200","0","0"
"5","Beirut","4.4390302835051552","Beirut","21","5","0","0","Beirut","53","14","27.835051546391753","21.015463917525775","Beirut","2","126","1.5625","1.1796875","Beirut",NA,"1200","0","0","Beirut","0","200","0","0"
"6","Berlin","26.724421713917529","Berlin","18","2","60","45.3","Berlin","47.8","8.7999999999999972","54.639175257731971","41.252577319587637","Berlin","35","93","27.34375","20.64453125","Berlin","420","780","35","26.425000000000001","Berlin","0","200","0","0"
"7","Bogota","26.512515786082467","Bogota","18","2","60","45.3","Bogota","49.6","10.600000000000001","45.360824742268029","34.247422680412363","Bogota","15","113","11.71875","8.84765625","Bogota","222","978","18.5","13.967499999999999","Bogota","80","120","40","30.2"
"8","Boston","25.301159149484533","Boston","17","1","80","60.4","Boston","45.5","6.5","66.494845360824741","50.203608247422679","Boston","18","110","14.0625","10.6171875","Boston","84","1116","7","5.2850000000000001","Boston","0","200","0","0"
"9","Buenos Aires","16.966338595360824","Buenos Aires","18","2","60","45.3","Buenos Aires","49","10","48.453608247422679","36.582474226804123","Buenos Aires","5","123","3.90625","2.94921875","Buenos Aires","0","1200","0","0","Buenos Aires","0","200","0","0"
"10","Cairo","18.046603978737114","Cairo","18","2","60","45.3","Cairo","51.287500000000001","12.287500000000001","36.66237113402061","27.680090206185561","Cairo","0","128","0","17.2529296875","Cairo","0","1200","0","0","Cairo","0","200","0","0"
"11","Caracas","31.795910438144325","Caracas","18","2","60","45.3","Caracas","43","4","79.381443298969074","59.932989690721648","Caracas","14","114","10.9375","8.2578125","Caracas","3","1197","0.25","0.18875","Caracas","120","80","60","45.3"
"12","Casablanca","17.038092783505157","Casablanca","18","2","60","45.3","Casablanca","53","14","27.835051546391753","21.015463917525775","Casablanca","32","96","25","18.875","Casablanca","0","1200","0","0","Casablanca","0","200","0","0"
"13","Chicago","15.788110502577316","Chicago","18","2","60","45.3","Chicago","55","16","17.525773195876283","13.231958762886594","Chicago","9","119","7.03125","5.30859375","Chicago","0","1200","0","0","Chicago","40","160","20","15.1"
"14","Dallas","14.19135685137457","Dallas","18","2","60","45.3","Dallas","54","15","22.680412371134011","17.123711340206178","Dallas","7","121","5.46875","4.12890625","Dallas","70","1130","5.8333333333333428","4.4041666666666739","Dallas","0","200","0","0"
"15","Dar Es Salaam","16.494463595360823","Dar Es Salaam","18","2","60","45.3","Dar Es Salaam","49","10","48.453608247422679","36.582474226804123","Dar Es Salaam","1","127","0.78125","0.58984375","Dar Es Salaam","0","1200","0","0","Dar Es Salaam","0","200","0","0"
"16","Detroit","18.64100837628866","Detroit","18","2","60","45.3","Detroit","47","8","58.762886597938142","44.365979381443296","Detroit","6","122","4.6875","3.5390625","Detroit","0","1200","0","0","Detroit","0","200","0","0"
"17","Dubai","10.543000966494846","Dubai","21","5","0","0","Dubai","49.25","10.25","47.164948453608247","35.609536082474229","Dubai","29","99","22.65625","17.10546875","Dubai","0","1200","0","0","Dubai","0","200","0","0"
"18","Durban","17.570825064432988","Durban","18","2","60","45.3","Durban","51","12","38.144329896907209","28.798969072164944","Durban","23","105","17.96875","13.56640625","Durban","3","1197","0.25","0.18875","Durban","0","200","0","0"
"19","Hong Kong","12.221562499999999","Hong Kong","18","2","60","45.3","Hong Kong","58.4","19.399999999999999","0","0","Hong Kong","na","na","na","15.807812500000001","Hong Kong",NA,"1200","0","0","Hong Kong","0","200","0","0"
"20","Istanbul","17.758488616838491","Istanbul","18","2","60","45.3","Istanbul","53","14","27.835051546391753","21.015463917525775","Istanbul","6","122","4.6875","3.5390625","Istanbul","301","899","25.083333333333343","18.937916666666673","Istanbul","0","200","0","0"
"21","Jakarta","27.109461984536086","Jakarta","17","1","80","60.4","Jakarta","40","1","94.845360824742272","71.608247422680421","Jakarta","6","122","4.6875","3.5390625","Jakarta","0","1200","0","0","Jakarta","0","200","0","0"
"22","Johannesburg","19.77448131443299","Johannesburg","18","2","60","45.3","Johannesburg","51","12","38.144329896907209","28.798969072164944","Johannesburg","26","102","20.3125","15.3359375","Johannesburg","150","1050","12.5","9.4375","Johannesburg","0","200","0","0"
"23","Karachi","25.337984858247417","Karachi","18","2","60","45.3","Karachi","47.52","8.5200000000000031","56.082474226804102","42.342268041237098","Karachi","47","81","36.71875","27.72265625","Karachi",NA,"1200","0","0","Karachi","30","170","15","11.324999999999999"
"24","Lagos","15.404918814432989","Lagos","18","2","60","45.3","Lagos","51","12","38.144329896907209","28.798969072164944","Lagos","4","124","3.125","2.359375","Lagos","9","1191","0.75","0.56625000000000003","Lagos","0","200","0","0"
"25","Lima","35.368247422680412","Lima","18","2","60","45.3","Lima","44","5","74.226804123711332","56.041237113402055","Lima","128","0","100","75.5","Lima","0","1200","0","0","Lima","0","200","0","0"
"26","London","15.893074312714779","London","18","2","60","45.3","London","56.5","17.5","9.7938144329896915","7.3943298969072169","London","44","84","34.375","25.953125","London","13","1187","1.0833333333333428","0.81791666666667384","London","0","200","0","0"
"27","Los Angeles","13.923961018041236","Los Angeles","18","2","60","45.3","Los Angeles","54","15","22.680412371134011","17.123711340206178","Los Angeles","9","119","7.03125","5.30859375","Los Angeles","30","1170","2.5","1.8875","Los Angeles","0","200","0","0"
"28","Madrid","13.970905283505155","Madrid","18","2","60","45.3","Madrid","53","14","27.835051546391753","21.015463917525775","Madrid","6","122","4.6875","3.5390625","Madrid","0","1200","0","0","Madrid","0","200","0","0"
"29","Manila","18.460762582130585","Manila","18","2","60","45.3","Manila","48.605740733333334","9.6057407333333344","50.485872508591058","38.116833743986248","Manila","14","114","10.9375","8.2578125","Manila","10","1190","0.83333333333334281","0.62916666666667387","Manila","0","200","0","0"
"30","Mexico City","43.224479703608253","Mexico City","18","2","60","45.3","Mexico City","42","3","84.536082474226802","63.824742268041234","Mexico City","15","113","11.71875","8.84765625","Mexico City","1200","0","100","75.5","Mexico City","60","140","30","22.65"
