"","0.71399999999999997","X2","98","X4","X5","X6","X7","99","X9","X10","X11","X12"
"1","Fashion Attribute Totals
(sorted by winner below)",NA,"Young designer showcase scale","raw data","difference","raw score","weighted score","Number of fashion incubators","raw data","difference","raw score","weighted score"
"2","Accra","1.9833333333333338","Accra","0","52","0","0","Accra","1","17","5.5555555555555571","3.9666666666666677"
"3","Amsterdam","12.281410256410254","Amsterdam","15","37","28.84615384615384","20.59615384615384","Amsterdam","1","17","5.5555555555555571","3.9666666666666677"
"4","Bangkok","4.6532051282051281","Bangkok","1","51","1.9230769230769198","1.3730769230769206","Bangkok","2","16","11.111111111111114","7.9333333333333353"
"5","Beirut","1.9833333333333338","Beirut","0","52","0","0","Beirut","1","17","5.5555555555555571","3.9666666666666677"
"6","Berlin","6.6365384615384615","Berlin","1","51","1.9230769230769198","1.3730769230769206","Berlin","3","15","16.666666666666671","11.900000000000002"
"7","Bogota","0","Bogota","0","52","0","0","Bogota","0","18","0","0"
"8","Boston","0","Boston","0","52","0","0","Boston","0","18","0","0"
"9","Buenos Aires","2.6698717948717943","Buenos Aires","1","51","1.9230769230769198","1.3730769230769206","Buenos Aires","1","17","5.5555555555555571","3.9666666666666677"
"10","Cairo","0","Cairo","0","52","0","0","Cairo","0","18","0","0"
"11","Caracas","2.0596153846153862","Caracas","3","49","5.7692307692307736","4.1192307692307724","Caracas","0","18","0","0"
"12","Casablanca","8.9249999999999989","Casablanca","13","39","25","17.849999999999998","Casablanca","0","18","0","0"
"13","Chicago","2.6698717948717943","Chicago","1","51","1.9230769230769198","1.3730769230769206","Chicago","1","17","5.5555555555555571","3.9666666666666677"
"14","Dallas","7.5519230769230736","Dallas","11","41","21.153846153846146","15.103846153846147","Dallas","0","18","0","0"
"15","Dar Es Salaam","0.68653846153846032","Dar Es Salaam","1","51","1.9230769230769198","1.3730769230769206","Dar Es Salaam","0","18","0","0"
"16","Detroit","10.221794871794874","Detroit","12","40","23.07692307692308","16.476923076923079","Detroit","1","17","5.5555555555555571","3.9666666666666677"
"17","Dubai","3.9666666666666677","Dubai","0","52","0","0","Dubai","2","16","11.111111111111114","7.9333333333333353"
