"","0.75900000000000001","X2","86","X4","X5","X6","X7","87","X9","X10","X11","X12","X13","X14","X15","X16","88","X18","X19","X20","X21","X22","X23"
"1","Film Attribute Totals
(sorted by winner below)",NA,"FIlm festivals","raw data","difference","raw score","weighted score","Cost of a movie ticket","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Number of cinema seats","raw data","population","per 10000","difference","raw score","weighted score"
"2","Accra","2.9813725312014028","Accra","2","78","2.5","1.8975","Accra","19.73","0.48759999999999998","9.6203479999999999","0.37","26.00094054054054","25.060143374907238","7.5102587891384474","5.7002864209560817","Accra","1752","2269000","7.7214631996474212","419.31436221660721","1.7738223618552382","1.3463311726481257"
"3","Amsterdam","42.701205307713714","Amsterdam","35","45","43.75","33.206249999999997","Amsterdam","10.53","1.3277000000000001","13.980681000000001","9.2799999999999994","1.5065389008620691","0.56574173522876514","97.912010881155382","74.315216258796937","Amsterdam","9430","813562","115.91003512946769","311.12579028678692","27.117456738266412","20.582149664344207"
"4","Bangkok","25.22285926184826","Bangkok","10","70","12.5","9.4875000000000007","Bangkok","181.33","3.2599999999999997E-2","5.9113579999999999","1.22","4.8453754098360653","3.9045782442027615","85.589330996985552","64.96230222671204","Bangkok","5800","8280925","7.0040484607697806","420.03177695548482","1.6057648996478946","1.218775558832752"
"5","Beirut","24.074939563477013","Beirut","6","74","7.5","5.6924999999999999","Beirut","14317.4","6.9999999999999999E-4","10.022179999999999","1.4","7.1586999999999996","6.2179028343666953","77.051519002852189","58.48210292316481","Beirut","8631","1900000","45.426315789473684","381.60950962678095","10.606344884408728","8.0502157672662236"
"6","Berlin","55.026177107945877","Berlin","65","15","81.25","61.668750000000003","Berlin","8","1.3277000000000001","10.621600000000001","11.29","0.94079716563330396","0","100","75.900000000000006","Berlin","52995","3421829","154.87331482666141","272.16251058959324","36.244771177651678","27.509781323837625"
"7","Bogota","36.727585807534865","Bogota","31","49","38.75","29.411249999999999","Bogota","10811.25","5.0000000000000001E-4","5.4056249999999997","1.72","3.1428052325581395","2.2020080669248356","91.873025097771958","69.731626049208913","Bogota","48404","7776845","62.24117878136957","364.79464663488505","14.545298252168237","11.039881373395692"
"8","Boston","35.764575587515573","Boston","12","68","15","11.385","Boston","11.89","1","11.89","8","1.4862500000000001","0.54545283436669612","97.9868913462075","74.372050531771492","Boston","56283","4640802","121.27860658567205","305.75721883058259","28.375067497727571","21.536676230775228"
"9","Buenos Aires","37.263578560078145","Buenos Aires","20","60","25","18.975000000000001","Buenos Aires","54.564999999999998","0.1832","9.9963079999999991","3.44","2.9059034883720929","1.965106322738789","92.747360917977545","70.395246936744954","Buenos Aires","36488","2890151","126.24945893830461","300.78636647795003","29.539510860987448","22.420488743489475"
"10","Cairo","22.376144017068608","Cairo","3","77","3.75","2.8462499999999999","Cairo","35.39","0.14630000000000001","5.1775570000000002","0.91","5.6896230769230769","4.7488259112897726","82.47345703415192","62.597353888921305","Cairo","9847","10230350","9.6252816374806329","417.41054377877401","2.2197999503089818","1.6848281622845172"
