"","0.749","X2","94","X4","X5","X6","X7","X8","X9","95","X11","X12","X13","X14","96","X16","X17","X18","X19","97","X21","X22","X23","X24","X25","X26","X27","X28"
"1","Food & Nightlife Attribute Totals
(sorted by winner below)",NA,"Number of restaurants in your city","raw data","population","per 10000","difference","raw score","weighted score","Last call index","raw data","difference","raw score","weighted score","Number of food festivals","raw data","difference","raw score","weighted score","Food - fast food","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"2","Accra","13.469825236398369","Accra","1073","2269000","4.7289554869986778","274.31096533244255","1.5443579845029518","1.1567241303927109","Accra","0","12","0","0","Accra","1","80","1.2345679012345698","0.92469135802469282","Accra","20.05","0.48759999999999998","9.7763799999999996","0.37","26.422648648648646","26.422425434362932","69.156055350034805","51.797885457176072"
"3","Amsterdam","42.65527676581344","Amsterdam","2405","813562","29.561361027186621","249.47855979225463","10.457200485295374","7.8324431634862348","Amsterdam","12","0","100","74.900000000000006","Amsterdam","15","66","18.518518518518519","13.87037037037037","Amsterdam","7.05","1.3277000000000001","9.3602850000000011","9.2799999999999994","1.0086514008620691","1.0084281865763547","98.822821801598323","74.018293529397141"
"4","Bangkok","25.640538510801029","Bangkok","7926","8280925","9.571394500010566","269.46852631943068","3.2824053183715591","2.4585215834602976","Bangkok","4","8","33.333333333333329","24.966666666666661","Bangkok","4","77","4.9382716049382793","3.6987654320987713","Bangkok","148.18","3.2599999999999997E-2","4.8306680000000002","1.22","3.9595639344262299","3.9593407201405157","95.378104620798908","71.438200360978385"
"5","Beirut","38.41188758326728","Beirut","4800","1900000","25.263157894736842","253.7767629247044","8.9144901951489288","6.6769531561665474","Beirut","12","0","100","74.900000000000006","Beirut","3","78","3.7037037037037095","2.7740740740740786","Beirut","12818.1","6.9999999999999999E-4","8.9726700000000008","1.4","6.4090500000000006","6.408826785714286","92.518722433682896","69.296523102828488"
"6","Berlin","40.246122144596889","Berlin","4650","3421829","13.589223774770744","265.45069704467051","4.7244838742753075","3.5386384218322053","Berlin","12","0","100","74.900000000000006","Berlin","9","72","11.111111111111114","8.3222222222222246","Berlin","6.58","1.3277000000000001","8.7362660000000005","11.29","0.77380566873339252","0.77358245444767826","99.09696653449015","74.223627934333123"
"7","Bogota","32.218478529452447","Bogota","6158","7776845","7.9183782112154741","271.12154260822575","2.6891050112615034","2.0141396534348659","Bogota","8","4","66.666666666666657","49.933333333333323","Bogota","6","75","7.407407407407419","5.5481481481481572","Bogota","13856.6","5.0000000000000001E-4","6.9283000000000001","1.72","4.0280813953488375","4.0278581810631229","95.298121472487907","71.378292982893441"
"8","Boston","30.162861294962262","Boston","766","645966","11.858209255595495","267.18171156384574","4.1031884564381045","3.0732881538721402","Boston","4","8","33.333333333333329","24.966666666666661","Boston","20","61","24.691358024691368","18.493827160493836","Boston","7.16","1","7.16","8","0.89500000000000002","0.89477678571428576","98.955491587204833","74.117663198816416"
"9","Buenos Aires","39.348440569589854","Buenos Aires","4234","2890151","14.64975359418937","264.3901672252519","5.1051290450612896","3.823741654750906","Buenos Aires","12","0","100","74.900000000000006","Buenos Aires","7","74","8.6419753086419746","6.4728395061728392","Buenos Aires","58.05","0.1832","10.63476","3.44","3.0914999999999999","3.0912767857142858","96.39143006333201","72.197181117435676"
"10","Cairo","22.418756971776922","Cairo","3931","10230350","3.8424882824145801","275.19743253702666","1.2261873359208408","0.91841431460470979","Cairo","2","10","16.666666666666657","12.483333333333325","Cairo","0","81","0","6.4728395061728445","Cairo","36.28","0.14630000000000001","5.3077640000000006","0.91","5.832707692307693","5.8324844780219784","93.191509656871574","69.800440732996805"
"11","Caracas","11.007850105327947","Caracas","991","2906376","3.4097446441891899","275.63017617525207","1.0708670676334577","0.80207943365745982","Caracas","5","7","41.666666666666664","31.208333333333332","Caracas","13","68","16.049382716049394","12.020987654320995","Caracas","275","0.1651","45.402499999999996","0.53","85.665094339622627","85.664871125336916","0","0"
"12","Casablanca","26.366959726742735","Casablanca","526","4055807","1.2969058932044844","277.74301492623675","0.31252736564117356","0.23408299686523901","Casablanca","5","7","41.666666666666664","31.208333333333332","Casablanca","3","78","3.7037037037037095","2.7740740740740786","Casablanca","51.08","0.1201","6.1347079999999998","1.47","4.1732707482993199","4.1730475340136053","95.128636185177953","71.251348502698292"
"13","Chicago","39.151535043827934","Chicago","16598","2718782","61.049396384116122","217.99052443532514","21.75888043496856","16.297401445791451","Chicago","6","6","50","37.450000000000003","Chicago","31","50","38.271604938271608","28.665432098765436","Chicago","6.67","1","6.67","8.25","0.80848484848484847","0.80826163419913422","99.056484153210761","74.193306630754861"
