"","0.77700000000000002","X2","79","X4","X5","X6","X7","80","X9","X10","X11","X12"
"1","Music Attribute Totals
(sorted by winner below)",NA,"Number of nightclubs","raw data","difference","raw score","weighted score","Music festivals","raw data","difference","raw score","weighted score"
"2","Accra","3.8916523972602768","Accra","22","562","3.7671232876712395","2.9270547945205534","Accra","5","75","6.25","4.8562500000000002"
"3","Amsterdam","23.895410958904108","Amsterdam","38","546","6.506849315068493","5.0558219178082195","Amsterdam","44","36","55","42.734999999999999"
"4","Bangkok","4.5968065068493198","Bangkok","18","566","3.0821917808219297","2.3948630136986395","Bangkok","7","73","8.75","6.7987500000000001"
"5","Beirut","33.022500000000001","Beirut","438","146","75","58.274999999999999","Beirut","8","72","10","7.7700000000000005"
"6","Berlin","42.595299657534255","Berlin","268","316","45.890410958904113","35.656849315068499","Berlin","51","29","63.75","49.533750000000005"
"7","Bogota","12.819169520547948","Bogota","54","530","9.2465753424657606","7.1845890410958964","Bogota","19","61","23.75","18.453749999999999"
"8","Boston","7.7367380136986341","Boston","36","548","6.1643835616438452","4.7897260273972675","Boston","11","69","13.75","10.68375"
"9","Buenos Aires","45.50239726027398","Buenos Aires","100","484","17.123287671232887","13.304794520547954","Buenos Aires","80","0","100","77.7"
"10","Cairo","4.1777054794520581","Cairo","19","565","3.2534246575342536","2.5279109589041151","Cairo","6","74","7.5","5.8275000000000006"
"11","Caracas","6.0137671232876713","Caracas","32","552","5.4794520547945211","4.257534246575343","Caracas","8","72","10","7.7700000000000005"
"12","Casablanca","10.257996575342467","Casablanca","52","532","8.9041095890410986","6.9184931506849336","Casablanca","14","66","17.5","13.5975"
"13","Chicago","23.562791095890415","Chicago","106","478","18.150684931506859","14.10308219178083","Chicago","34","46","42.5","33.022500000000001"
"14","Dallas","11.428818493150686","Dallas","55","529","9.4178082191780845","7.3176369863013715","Dallas","16","64","20","15.540000000000001"
"15","Dar Es Salaam","5.287325342465758","Dar Es Salaam","24","560","4.1095890410959015","3.1931506849315157","Dar Es Salaam","0","80","0","7.3815"
"16","Detroit","8.5948972602739762","Detroit","27","557","4.6232876712328874","3.5922945205479535","Detroit","14","66","17.5","13.5975"
"17","Dubai","11.595128424657538","Dubai","94","490","16.095890410958916","12.506506849315079","Dubai","11","69","13.75","10.68375"
"18","Durban","6.8054023972602771","Durban","22","562","3.7671232876712395","2.9270547945205534","Durban","11","69","13.75","10.68375"
"19","Hong Kong","8.8555502801992549","Hong Kong","13","571","2.2260273972602818","1.729623287671239","Hong Kong","0","80","0","15.981477272727272"
"20","Istanbul","10.051772260273978","Istanbul","100","484","17.123287671232887","13.304794520547954","Istanbul","7","73","8.75","6.7987500000000001"
"21","Jakarta","23.310000000000002","Jakarta","0","584","0","0","Jakarta","48","32","60","46.620000000000005"
"22","Johannesburg","11.9876198630137","Johannesburg","78","506","13.356164383561648","10.3777397260274","Johannesburg","14","66","17.5","13.5975"
"23","Karachi","7.7700000000000005","Karachi","0","584","0","0","Karachi","16","64","20","15.540000000000001"
"24","Lagos","16.51125","Lagos","219","365","37.5","29.137499999999999","Lagos","4","76","5","3.8850000000000002"
"25","Lima","19.858356164383565","Lima","67","517","11.472602739726028","8.9142123287671247","Lima","0","80","0","30.802500000000002"
"26","London","61.614503424657535","London","386","198","66.095890410958901","51.356506849315068","London","74","6","92.5","71.872500000000002"
"27","Los Angeles","39.269101027397262","Los Angeles","291","293","49.828767123287676","38.716952054794525","Los Angeles","41","39","51.25","39.821249999999999"
"28","Madrid","13.052003424657538","Madrid","94","490","16.095890410958916","12.506506849315079","Madrid","14","66","17.5","13.5975"
"29","Manila","1.4568750000000001","Manila","0","584","0","0","Manila","3","77","3.75","2.9137500000000003"
"30","Mexico City","33.035804794520551","Mexico City","190","394","32.534246575342465","25.279109589041095","Mexico City","42","38","52.5","40.792500000000004"
"31","Miami","5.8607619863013714","Miami","37","547","6.3356164383561691","4.9227739726027435","Miami","7","73","8.75","6.7987500000000001"
"32","Montreal","20.329726027397264","Montreal","72","512","12.328767123287676","9.5794520547945243","Montreal","32","48","40","31.080000000000002"
"33","Moscow","21.181232876712329","Moscow","114","470","19.520547945205479","15.167465753424658","Moscow","28","52","35","27.195"
"34","Mumbai","3.5789897260274008","Mumbai","10","574","1.7123287671232958","1.3304794520548009","Mumbai","6","74","7.5","5.8275000000000006"
"35","Nairobi","4.7365068493150719","Nairobi","42","542","7.191780821917817","5.5880136986301441","Nairobi","4","76","5","3.8850000000000002"
"36","New Delhi","5.035864726027401","New Delhi","10","574","1.7123287671232958","1.3304794520548009","New Delhi","9","71","11.25","8.7412500000000009"
"37","New York City","76.243124999999992","New York City","584","0","100","77.7","New York City","77","3","96.25","74.786249999999995"
"38","Osaka","16.883784246575345","Osaka","64","520","10.958904109589042","8.5150684931506859","Osaka","26","54","32.5","25.252500000000001"
"39","Paris","44.531147260273976","Paris","319","265","54.62328767123288","42.442294520547946","Paris","48","32","60","46.620000000000005"
"40","Quito","14.801583904109592","Quito","186","398","31.849315068493155","24.746917808219184","Quito","5","75","6.25","4.8562500000000002"
"41","Rio De Janeiro","18.879503424657536","Rio De Janeiro","240","344","41.095890410958908","31.931506849315074","Rio De Janeiro","6","74","7.5","5.8275000000000006"
"42","Rome","19.884015410958906","Rome","131","453","22.43150684931507","17.429280821917811","Rome","23","57","28.75","22.338750000000001"
"43","San Francisco","21.560419520547949","San Francisco","200","384","34.246575342465761","26.609589041095898","San Francisco","17","63","21.25","16.51125"
"44","Santiago","22.5183647260274","Santiago","83","501","14.212328767123296","11.042979452054801","Santiago","35","45","43.75","33.993749999999999"
"45","Sao Paulo","28.266035958904112","Sao Paulo","184","400","31.506849315068493","24.480821917808221","Sao Paulo","33","47","41.25","32.051250000000003"
"46","Seoul","17.682071917808223","Seoul","222","362","38.013698630136993","29.536643835616445","Seoul","6","74","7.5","5.8275000000000006"
"47","Shanghai","19.731010273972608","Shanghai","209","375","35.787671232876718","27.807020547945211","Shanghai","12","68","15","11.655000000000001"
"48","Singapore","12.120667808219181","Singapore","80","504","13.69863013698631","10.643835616438363","Singapore","14","66","17.5","13.5975"
"49","Sydney","21.873082191780824","Sydney","139","445","23.801369863013704","18.493664383561647","Sydney","26","54","32.5","25.252500000000001"
"50","Tehran","1.4568750000000001","Tehran","0","584","0","0","Tehran","3","77","3.75","2.9137500000000003"
"51","Tel Aviv","35.596977739726029","Tel Aviv","484","100","82.876712328767127","64.395205479452059","Tel Aviv","7","73","8.75","6.7987500000000001"
"52","Tokyo","31.751892123287675","Tokyo","397","187","67.979452054794521","52.820034246575347","Tokyo","11","69","13.75","10.68375"
"53","Toronto","33.654477739726033","Toronto","265","319","45.376712328767127","35.257705479452056","Toronto","33","47","41.25","32.051250000000003"
"54","Vancouver","4.4504537671232907","Vancouver","45","539","7.7054794520548029","5.9871575342465819","Vancouver","3","77","3.75","2.9137500000000003"
"55","Warsaw","22.43188356164384","Warsaw","89","495","15.239726027397268","11.841267123287677","Warsaw","34","46","42.5","33.022500000000001"
"56","Washington","15.619828767123291","Washington","191","393","32.705479452054803","25.412157534246582","Washington","6","74","7.5","5.8275000000000006"
"57",NA,NA,"highest","584",NA,NA,NA,"highest","80",NA,NA,NA
"58",NA,"Africa","lowest","0",NA,NA,NA,"lowest","0",NA,NA,NA
"59",NA,"Asia","difference","584",NA,NA,NA,"difference","80",NA,NA,NA
"60",NA,"Europe","count","55",NA,NA,NA,"count","55",NA,NA,NA
"61",NA,"Latin America","ratio","0.17123287671232876",NA,NA,NA,"ratio","1.25",NA,NA,NA
"62",NA,"USA/Can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,"Middle East ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","New York City","76.186363636363637","New York City","584","0","100","77.7","Buenos Aires","80","0","100","77.7"
"65","London","61.500980697384811","Tel Aviv","484","100","82.876712328767127","64.395205479452059","New York City","77","3","96.103896103896105","74.672727272727272"
"66","Buenos Aires","45.50239726027398","Beirut","438","146","75","58.274999999999999","London","74","6","92.20779220779221","71.645454545454555"
"67","Paris","43.925692714819434","Tokyo","397","187","67.979452054794521","52.820034246575347","Berlin","51","29","62.337662337662337","48.436363636363637"
"68","Berlin","42.046606475716068","London","386","198","66.095890410958901","51.356506849315068","Jakarta","48","32","58.441558441558442","45.409090909090914"
"69","Los Angeles","38.531203300124531","Paris","319","265","54.62328767123288","42.442294520547946","Paris","48","32","58.441558441558442","45.409090909090914"
"70","Tel Aviv","34.215784557907853","Los Angeles","291","293","49.828767123287676","38.716952054794525","Amsterdam","44","36","53.246753246753244","41.372727272727275"
"71","Toronto","32.765216376089668","Berlin","268","316","45.890410958904113","35.656849315068499","Mexico City","42","38","50.649350649350652","39.354545454545459"
"72","Mexico City","32.316827521793279","Toronto","265","319","45.376712328767127","35.257705479452056","Los Angeles","41","39","49.350649350649348","38.345454545454544"
"73","Beirut","31.660227272727269","Rio De Janeiro","240","344","41.095890410958908","31.931506849315074","Santiago","35","45","41.558441558441558","32.290909090909089"
"74","Tokyo","30.446380759651312","Seoul","222","362","38.013698630136993","29.536643835616445","Chicago","34","46","40.259740259740262","31.281818181818185"
"75","Sao Paulo","27.376774595267747","Lagos","219","365","37.5","29.137499999999999","Warsaw","34","46","40.259740259740262","31.281818181818185"
"76","Amsterdam","23.214274595267746","Shanghai","209","375","35.787671232876718","27.807020547945211","Sao Paulo","33","47","38.961038961038959","30.272727272727273"
"77","Jakarta","22.704545454545457","San Francisco","200","384","34.246575342465761","26.609589041095898","Toronto","33","47","38.961038961038959","30.272727272727273"
"78","Chicago","22.692450186799508","Washington","191","393","32.705479452054803","25.412157534246582","Montreal","32","48","37.662337662337663","29.263636363636365"
"79","Santiago","21.666944271481945","Mexico City","190","394","32.534246575342465","25.279109589041095","Lima",NA,"80","-3.8961038961038952","28.975324675324675"
"80","Warsaw","21.56154265255293","Quito","186","398","31.849315068493155","24.746917808219184","Moscow","28","52","32.467532467532465","25.227272727272727"
"81","Sydney","20.851377646326277","Sao Paulo","184","400","31.506849315068493","24.480821917808221","Osaka","26","54","29.870129870129873","23.209090909090911"
"82","San Francisco","20.368430884184313","Sydney","139","445","23.801369863013704","18.493664383561647","Sydney","26","54","29.870129870129873","23.209090909090911"
"83","Moscow","20.197369240348692","Rome","131","453","22.43150684931507","17.429280821917811","Rome","23","57","25.974025974025977","20.181818181818183"
"84","Montreal","19.421544209215444","Moscow","114","470","19.520547945205479","15.167465753424658","Bogota","19","61","20.779220779220779","16.145454545454545"
"85","Lima","18.9447685020459","Chicago","106","478","18.150684931506859","14.10308219178083","San Francisco","17","63","18.181818181818187","14.127272727272732"
"86","Rome","18.805549501867997","Buenos Aires","100","484","17.123287671232887","13.304794520547954","Hong Kong",NA,"80","-3.8961038961038952","13.576859504132234"
