"","Indicator","Category","Weight","Accra","Amsterdam","Bangkok","Beirut","Berlin","Bogota","Boston","Buenos.Aires","Cairo","Caracas","Casablanca","Chicago","Dallas","Dar.Es.Salaam","Detroit","Dubai","Durban","Hong.Kong","Istanbul","Jakarta","Johannesburg","Karachi","Lagos","Lima","London","Los.Angeles","Madrid","Manila","Mexico.City","Miami","Montreal","Moscow","Mumbai","Nairobi","New.Delhi","New.York.City","Osaka","Paris","Quito","Rio.De.Janeiro","Rome","San.Francisco","Santiago","Sao.Paulo","Seoul","Shanghai","Singapore","Sydney","Tehran","Tel.Aviv","Tokyo","Toronto","Vancouver","Warsaw","Washington"
"1","road.death","Safety","0.879","40.9","6.8","70.3","31.2","7.8","35.799999999999997","18.600000000000001","26.4","31.6",85.9,"34.6","18.600000000000001","18.600000000000001","40.799999999999997","18.600000000000001","18.2","47.7","30.5","23.5","34.4",47.7,"40.799999999999997",55.1,"29.7","5.9",18.6,"7.6","22.8",26.7,18.6,"11",33.2,"41","52.3","41","18.600000000000001",6.4,11.9,61.4,"52.5",13,18.6,"22.8",52.5,22.1,30.5,9.8,10.4,85.7,8,6.4,11,"11","22.5",18.6
"2","food.safety","Safety","0.879","53","100","100","73","68.25","67","100","60","80",87,"100","100","100","60","100","100","80","100","0","100",80,"53",67,"79.875","100",100,"0","60",93,100,"100",73,"100","73","100","100",100,100,53,"93",100,100,"93",93,100,100,100,87,100,73,100,100,"100","73",100
"3","suicides","Safety","0.879","3.1","8.1999999999999993","16.650000000000002","0.9","9.1999999999999993","5.4","12.1","10.3","1.7",2.6,"5.3","12.1","12.1","24.9","12.1","3.2","3","7.8","7.9","16.650000000000002",3,"16.650000000000002",8.17142857142857,"3.2","6.2",12.1,"5.0999999999999996","2.9",4.2,12.1,"9.8000000000000007",19.5,"21.1","16.2","21.1","12.1",18.5,12.3,9.2,"5.8",4.7,12.1,"12.2",5.8,28.9,7.8,7.4,10.6,5.2,5.9,18.5,9.8,"9.8000000000000007","16.600000000000001",12.1
"4","homicides","Safety","0.879","29","23","n/a","25","106","1085","57","176","2144",2340,"35","407","137","3928","333","235","1187","62","472","0",2503,"3200",442,"415","83",255,"49","0",1108,69,"28",430,"223","1749","521","328",52,73,155,"1209",112,138,"343",1689,179,192,25.4388,52,163,29,118,57,"9","40",105
"5","c.tax.rate","Affordability","0.877","0.15","0.21","7.0000000000000007E-2","0.1","0.19","0.16","6.25E-2","0.21","0.1",0.12,"0.1275","9.2499999999999999E-2","8.2500000000000004E-2","0.18","0.06","0","0.14000000000000001","0","0.18","0.1",0.14,"0.23",0.05,"0.05","0.2",0.0875,"0.21","0.12",0.16,0.07,"9.9750000000000005E-2",0.18,"0.1236","0.15","0.125","8.8800000000000004E-2",0.08,0.2,0.12,"0.19",0.22,0.085,"0.19",0.185,0.1,0.116,0.07,0.1,0.04,0.13,0.08,0.13,"0.12","0.23",0.0575
"6","rental.housing","Affordability","0.877","8199.2199999999993","1787.09","39179","2318900","1115.2","3400600","3038","8951.4599999999991","4345.9799999999996",30053,"9727.1200000000008","1995.56","1542.08","3784060","1562","9113","10816.9","41690","2545.36","15968600",12871,"38357",353834,"3037","2445.9499999999998",2395.19,"1244.08","56673.3",19264.5,2026.88,"1670.69",103211,"58607.4","126570","30373.7","4039.62",186364,2607.18,1100,"5180.49",1708.68,4275.23,"708286",4270.46,2177050,12994,5011.27,3150.02,601.71,7613.78,329563,2339.1,"2394.41","4275.1499999999996",2691.58
"7","gini","Affordability","0.877","0.42799999999999999","0.33800000000000002","0.4","0.85599999999999998","0.28299999999999997","0.53500000000000003","0.47720000000000001","0.36699999999999999","0.308",0.39,"0.40899999999999997","0.47239999999999999","0.46250000000000002","0.39","0.46800000000000003","0.3","0.72","0.53700000000000003","0.4","0.38100000000000001",0.6,"0.3",0.488,"0.45300000000000001","0.33700000000000002",0.4894,"0.33200000000000002","0.43",0.481,0.502,"0.35899999999999999",0.52,"0.33900000000000002","0.34","0.33900000000000002","0.505",0.415,0.32,0.42,"0.51800000000000002",0.49,0.4845,"0.494",0.56,0.311,0.37,0.478,0.33,0.383,0.37,0.42,0.418,"0.483","0.32779999999999998",0.4372
"8","cellular.cost","Affordability","0.877","0.36","0.35","1.89","450.91","0.09","290.35000000000002","0.56999999999999995","2.81","0.47",2.23,"2.74","1.01","0.59","445.5","0.16","0.73","2.0299999999999998","1.70","0.45","2505",1.5,"19.350000000000001",26.65,"0.46500000000000002","0.17",0.62,"0.28999999999999998","7.07",2.15,0.92,"0.52",1.63,"1.1100000000000001","4.32","1","0.43",43.5,0.27,0.14,"1.68",0.13,0.53,"167.27",1.32,277.09,1.57,0.48,0.7,2480.55,0.6,40.45,0.52,"0.3","0.26800000000000002",0.89
"9","food.cost","Affordability","0.877","8.3000000000000007","2.56","76.55","5909.09","3.91","4777.8900000000003","3.33","17.170000000000002","12.62",110,"11.98","2.37","2.2200000000000002","3600","2.19","9.16","21.42","28.61","5.54","20456.2",29,"19.329999999999998",361.11,"1.94","2.85",3.29,"1.96","73",26.96,2.76,"3.64",71.53,"58.89","206.32","62.52","3.53",254.95,3.7,1.98,"4.45",3.62,4.72,"1722.74",6.34,3918.27,15.33,3.09,5.53,44247.2,12.91,279,3.65,"4.0","8.8800000000000008",3.4
"10","transit.pass","Affordability","0.877","99.44","90","999.94","118636","79.5","95589.9","26","178.8","128.35",60,"190","90","40","55562.400000000001","47","220","242.44","580","151.25","306640",783.82,"1512.86",250,"29","104.5",43,"53.77","1567.59",320,56.25,"49.25",1722.01,"1100","4318.18","450","116.5",7837,64.54,18.46,"170.79",35,80,"34054",184.66,55320.2,200.47,120,136.44,15,128,7479,123,"103.4","73.5",176.68
"11","apt.buy.cost","Affordability","0.877","3,333.33","5171.43","114500","5750","3528.85","4138674.57","2955.42","3486.11","5846.67",1866.67,"19639.87","3274.92","2009.26","207.5","835.65","18872.86","8750","202786.66","5764.5","35664361.18",12500,"102025.57",72262.5,"5883.33","9751.26",4684.45,"3592.86","75020.990000000005",21909.22,3632.82,"3798.09",6833.37,"417855.04","118000","181773.85","10254.64",570000,9333.33,1300,"11214.29",9413.33,9149.32,"1121428.57",9386.17,11671584.42,57159.15,24357.68,11350,2615.05,27854.55,724049.87,6529.55,"7851.31","10044.19",5704.87
"12","toothpaste.cost","Affordability","0.877","23.44","2.4","72.81","4927.2700000000004","1.29","2766.93","3","18.96","9.26",94.14,"17.29","1.81","2.13","2966.67","1.94","12.91","10.39","22.49","6.27","16098.1",11.92,"78.37",462.73,"8.6","1.61",1.86,"1.58","102",26.67,2.54,"1.86",88.96,"71.680000000000007","165.45","57.4","2.68",250,2.54,2.44,"3.13",1.96,3.62,"1483.05",3.49,3000,17.09,3.24,4.12,58812.8,17.72,346.77,2.49,"4.1900000000000004","6.48",2.95
"13","km.transit","Transit","0.87","0","380","72.45","0","1900","113","10","860","77.900000000000006",1123.5,"160","360.5","178.95","20.9","4.7","86.87","0","210.9","231.8","200",122,"50",22,"95.31","430",182,"325","31",3753,50,"71",332.2,"116.4","160","190","1160",762.6,214,689,"71",335,175.5,"103",260.8,526.3,439,182,28.39,376,44.136,326,150.3,"27","406",188
"14","hrs.transit","Transit","0.87","0","138","126","0","153","131","143","119","140",126,"119","168","143","0","118.5","168","0","133","126","119",111,"0",112,"112","118",156,"140","126",81.14,140,"132.5",133,"147","25","127.75","168",133,135,131,"130",130,143.5,"125",140,129.5,126,132.5,147,119,103.5,133,133.5,"133.5","168",137
