"","Safety.Attribute.Totals","X2","Age-standardized.Road.Deaths.per.100000.(national)","raw.data.(per.100000)","Difference","Raw.score","Weighted.score","Food.safety.(national)","Raw.data","Difference","Raw.score","Weighted.score","Age.standardized.suicide.rates.per.100000.(national)","Raw.data","Difference","Raw.score","Weighted.score","Homicides","raw.data","X20","per.100,000","difference","raw.score","weighted.score"
"1","Accra","65.882238711212764","Accra",40.9,35,56.25,49.44375,"Accra",53,47,53,46.587,"Accra",3.1,2.2,92.1428571428571,80.9935714285714,"Accra","29",2269000,1.27809607756721,1.27809607756721,98.4125522369506,86.5046334162796
"2","Amsterdam","81.151967433467206","Amsterdam",6.8,0.899999999999999,98.875,86.911125,"Amsterdam",100,0,100,87.9,"Amsterdam",8.2,7.3,73.9285714285714,64.9832142857143,"Amsterdam","23",813562,2.82707402754799,2.82707402754799,96.4886580752612,84.8135304481546
"3","Bangkok","56.742609703836003","Bangkok",70.3,64.4,19.5,17.1405,"Bangkok",100,0,100,87.9,"Bangkok",16.65,15.75,43.75,38.45625,"Bangkok","n/a",8280925,1.92593014404636,1.92593014404636,97.6079157485757,83.473688815344
"4","Beirut","74.658026624493928","Beirut",31.2,25.3,68.375,60.101625,"Beirut",73,27,73,64.167,"Beirut",0.9,0,100,87.9,"Beirut","25",1900000,1.31578947368421,1.31578947368421,98.3657354925776,86.4634814979757
"5","Berlin","73.041515776501413","Berlin",7.8,1.9,97.625,85.812375,"Berlin",68.25,31.75,68.25,59.99175,"Berlin",9.2,8.3,70.3571428571429,61.8439285714286,"Berlin","106",3421829,3.09775853790473,3.09775853790473,96.1524568083926,84.5180095345771
"6","Bogota","65.095448349932965","Bogota",35.8,29.9,62.625,55.047375,"Bogota",67,33,67,58.893,"Bogota",5.4,4.5,83.9285714285714,73.7732142857143,"Bogota","1085",7776845,13.9516732042364,13.9516732042364,82.6714495040018,72.6682041140176
"7","Boston","73.213060973596441","Boston",18.6,12.7,84.125,73.945875,"Boston",100,0,100,87.9,"Boston",12.1,11.2,60,52.74,"Boston","57",645966,8.82399383249273,8.82399383249273,89.0402376500406,78.2663688943857
"8","Buenos Aires","64.43948555022466","Buenos Aires",26.4,20.5,74.375,65.375625,"Buenos Aires",60,40,60,52.74,"Buenos Aires",10.3,9.4,66.4285714285714,58.3907142857143,"Buenos Aires","176",2890151,6.08964721912454,6.08964721912454,92.4364083221665,81.2516029151844
"9","Cairo","70.097633473297336","Cairo",31.6,25.7,67.875,59.662125,"Cairo",80,20,80,70.32,"Cairo",1.7,0.8,97.1428571428571,85.3885714285714,"Cairo","2144",10230350,20.9572497519635,20.9572497519635,73.9702360234561,65.0198374646179
"10","Caracas","39.759053571428566","Caracas",85.9,80,0,0,"Caracas",87,13,87,76.473,"Caracas",2.6,1.7,93.9285714285714,82.5632142857143,"Caracas","2340",2906376,80.5126384198053,80.5126384198053,0,0
