"","0.86399999999999999","X2","30","X4","X5","X6","X7","X8","31","X10","X11","X12","X13","X14","X15","X16","X17","32","X19","X20","X21","X22","33","X24","X25","X26","X27","34","X29","X30","X31","X32","X33","X34","X35","X36","35","X38","X39","X40","X41","36","X43","X44","X45","X46","37","X48","X49","X50","X51","X52","X53","X54","X55"
"1","Travel Attribute Totals
(sorted by winner below)",NA,"Number of cities connected through direct flights","raw data","difference","raw score","weighted score",NA,"Getaway city bus cost","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Getaway bus time","raw data","difference","raw score","weighted score","Getaway bus frequency","raw data","difference","raw score","weighted score","Getaway city plane cost","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Getaway city plane time","raw data","difference","raw score","weighted score","Getaway city plane frequency","raw data","difference","raw score","weighted score","Hostel Stay","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"2","Accra","34.222112983123303","Accra","29","280","6.0402684563758413","5.2187919463087269",NA,"Accra","80","0.48759999999999998","39.007999999999996","0.37","105.42702702702702","105.42702702702702","27.789707515734918","24.01030729359497","Accra","418","408","82.928870292887026","71.650543933054394","Accra","1","935","0","0","Accra","1433.87","0.48759999999999998","699.15501199999994","0.37","1889.6081405405405","15461.46733115757","89.13208200375189","77.010118851241629","Accra","60","30","84.771573604060919","73.242639593908635","Accra","5","4","2.0100502512562812","1.7366834170854271","Accra","46.73","0.48759999999999998","22.785547999999999","0.37","61.582562162162162","60.10080662628971","24.19886438633408","20.907818829792646"
"3","Amsterdam","64.044281344488638","Amsterdam","212","97","67.449664429530202","58.276510067114096","GBP","Amsterdam","27.806799999999999","1.5636000000000001","43.478712479999999","9.2799999999999994","4.6852060862068967","4.6852060862068967","96.790954735474727","83.627384891450163","Amsterdam","615","605","74.686192468619254","64.528870292887035","Amsterdam","4","932","0.32085561497326864","0.27721925133690412","Amsterdam","81","1.3277000000000001","107.5437","9.2799999999999994","11.58876077586207","17339.486710922247","99.958465669453318","86.36411433840766","Amsterdam","60","30","84.771573604060919","73.242639593908635","Amsterdam","141","140","70.35175879396985","60.78391959798995","Amsterdam","17.71","1.3277000000000001","23.513567000000002","9.2799999999999994","2.5337895474137935","1.0520340115413398","98.67313972547997","85.253592722814687"
"4","Bangkok","53.381506413855583","Bangkok","202","107","64.09395973154362","55.377181208053685",NA,"Bangkok","1200","3.2599999999999997E-2","39.119999999999997","1.22","32.065573770491802","32.065573770491802","78.037278239389181","67.424208398832249","Bangkok","600","590","75.313807531380746","65.071129707112959","Bangkok","48","888","5.0267379679144426","4.3431016042780781","Bangkok","3380","3.2599999999999997E-2","110.18799999999999","1.22","90.31803278688524","17260.757438911223","99.504608103500232","85.971981401424202","Bangkok","70","40","79.695431472081225","68.856852791878183","Bangkok","12","11","5.5276381909547734","4.7758793969849238","Bangkok","439","3.2599999999999997E-2","14.311399999999999","1.22","11.730655737704918","10.248900201832464","87.073746298935646","75.231716802280403"
"5","Beirut","34.300672874463892","Beirut","45","264","11.409395973154361","9.8577181208053677",NA,"Beirut",NA,"6.9999999999999999E-4","0","1.4","146","146","0","0","Beirut",NA,"-10","100.418410041841","86.761506276150627","Beirut",NA,"936","0","0","Beirut","247","1","247","1.4","176.42857142857144","17174.646900269538","99.008199099929726","85.543084022339286","Beirut","197","167","15.228426395939096","13.157360406091378","Beirut","7","6","3.0150753768844218","2.6050251256281403","Beirut","21169","6.9999999999999999E-4","14.818300000000001","1.4","10.584500000000002","9.1027444641275483","88.519316023954076","76.480689044696319"
"6","Berlin","54.929578951201286","Berlin","117","192","35.570469798657712","30.732885906040263",NA,"Berlin","36","1.3277000000000001","47.797200000000004","11.29","4.2335872453498675","4.2335872453498675","97.10028270866448","83.894644260286114","Berlin","270","260","89.121338912133893","77.000836820083677","Berlin","11","925","1.0695187165775479","0.92406417112300143","Berlin","83","1.3277000000000001","110.19910000000002","11.29","9.76077059344553","17341.314701104664","99.969003645400321","86.373219149625882","Berlin","60","30","84.771573604060919","73.242639593908635","Berlin","3","2","1.0050251256281406","0.86834170854271353","Berlin","12.6","1.3277000000000001","16.729020000000002","11.29","1.4817555358724537","0","100","86.4"
"7","Bogota","53.521968996049601","Bogota","74","235","21.140939597315437","18.265771812080537",NA,"Bogota","60000","5.0000000000000001E-4","30","1.72","17.441860465116278","17.441860465116278","88.05352022937241","76.078241478177759","Bogota","540","530","77.824267782426773","67.240167364016727","Bogota","13","923","1.2834224598930462","1.1088770053475918","Bogota","41","1","41","1.72","23.837209302325583","17327.238262395786","99.887855959838021","86.303107549300051","Bogota","50","20","89.847715736040612","77.628426395939087","Bogota","59","58","29.145728643216078","25.181909547738691","Bogota","36762.47","5.0000000000000001E-4","18.381235","1.72","10.686764534883721","9.2050089990112678","88.390336592356917","76.369250815796377"
"8","Boston","64.747184903812908","Boston","104","205","31.208053691275168","26.963758389261745",NA,"Boston","3","1","3","8","0.375","0.375","99.743150684931507","86.178082191780817","Boston","270","260","89.121338912133893","77.000836820083677","Boston","13","923","1.2834224598930462","1.1088770053475918","Boston","60","1","60","8","7.5","17343.57547169811","99.982036508686249","86.384479543504924","Boston","65","35","82.233502538071065","71.049746192893394","Boston","200","199","99.999999999999986","86.399999999999991","Boston","37.61","1","37.61","8","4.7012499999999999","3.2194944641275463","95.939466536610027","82.891699087631068"
"9","Buenos Aires","52.30397150955433","Buenos Aires","63","246","17.449664429530202","15.076510067114095",NA,"Buenos Aires","450","0.1832","82.44","3.44","23.965116279069768","23.965116279069768","83.585536795157694","72.217903791016241","Buenos Aires","240","230","90.376569037656907","78.085355648535568","Buenos Aires","96","840","10.160427807486627","8.7786096256684463","Buenos Aires","1400","0.1832","256.48","3.44","74.558139534883722","17276.517332163225","99.595460547684297","86.050477913199231","Buenos Aires","55","25","87.309644670050758","75.435532994923861","Buenos Aires","5","4","2.0100502512562812","1.7366834170854271","Buenos Aires","120","0.1832","21.984000000000002","3.44","6.3906976744186057","4.908942138546152","93.808678957050674","81.050698618891786"
"10","Cairo","54.762801627200162","Cairo","81","228","23.489932885906043","20.29530201342282",NA,"Cairo","32","0.14630000000000001","4.6816000000000004","0.91","5.1446153846153848","5.1446153846153848","96.47629083245522","83.355515279241303","Cairo","180","170","92.887029288702934","80.254393305439336","Cairo","24","912","2.4598930481283503","2.1253475935828945","Cairo","126","1","126","0.91","138.46153846153845","17212.613933236571","99.227070997620658","85.732189341944249","Cairo","75","45","77.157360406091371","66.663959390862942","Cairo","52","51","25.628140703517587","22.142713567839195","Cairo","59.83","0.14630000000000001","8.7531290000000013","0.91","9.6188230769230785","8.1370675410506248","89.737259867208948","77.532992525268526"
