"","Country","Age.standardized.road.deaths","Food.safety","Age.standardized.suicides","Homicides","Consumption.tax.rate","Rental.housing","GINI.Coefficient","Cost.of.one.prepaid.cellular.minute","Food.-.12.eggs","Monthly.transit.pass","Price.per.square.meter.to.buy.an.apartment","Tube.of.toothpaste","KMs.of.dedicated.public.transportation","HRs/week.dedicated.public.transit","Public.bike.rentals","KMs.of.bike.paths","Commuter.time.by.transit","Commuter.time.by.foot","Commuter.time.to.airport","Real.time.transit.app","Density","Standing.rate.for.a.taxi","Number.of.public.health.clinics","Number.of.public.sexual.health.clinics","Number.of.homeless.shelters","Urban.smoking.scale","Mental.health.outpatient.facilities","Doctor.density","Number.of.cities.connected.through.direct.flights","Getaway.city.bus.cost","Getaway.city.bus.time","Getaway.city.bus.frequency","Getaway.city.plane.cost","Getaway.city.plane.time","Getaway.city.plane.frequency","Hostel.Stay","Youth.unemployment.rate","Employment.initiatives.and.programs.scale","Youth.Employment.Centres","Number.of.new.jobs.created.in.2013","Municipal.water.scale","Smart.cities.initiatives.scale","Quantity.of.annual.recycled.materials","Quantity.of.annual.waste","Carbon.emissions","Recycled.materials","Total.registered.vehicles","Post-secondary.institutions","Average.cost.of.tuition","Full-time.undergrad.enrolment","Student.housing","Student.debt","Age.at.which.you.can.register.a.business","Number.of.entrepreneurship.Incubators","Total.early.stage.entrepreneurial.activity","Ease.of.doing.business.rank","Employment.initiatives.and.programs.scale","Total.green.space/public.space","Number.of.municipally.maintained.sports.facilities/fields","Number.of.public.libraries","Business.banking.availability","Personal.Banking.availability","Number.of.""Chartered"".banks.in.your.city","Online.banking","Mobile.banking","Financial.literacy","Languages.to.vote.in","Diversity.of.food","Openness.to.LGBTQ","Openness.to.immigrants","Diversity.of.religion","Global.gender.gap.index","Cellular.competitiveness.level","Average.cost.of.baseline.package.with.data","Free.WIFI.scale","Mobile.phone.infrastructure","Municipal.government.open.urban.data.scale","Gamers.+.Developers.scale","Number.of.nightclubs","Music.festivals","Grafitti.and.street.art","Number.of.design.schools","Number.of.professional.sports.teams","Number.of.pro.sports.facilities","1.pair.of.sport.shoes.(Nike,.Adidas,.or.similar)","1.month.of.gym.membership.in.business.district","FIlm.festivals","Cost.of.a.movie.ticket","Number.of.cinema.seats","Voting.age","Average.age.of.city.councillors.(elected.officials).in.your.city","Volunteer.opportunities","Political.influence.-.Youth.advisory.board","Volunteerism.in.high.school.scale","Number.of.restaurants.in.your.city","Last.call.index","Number.of.food.festivals","Food.-.fast.food","Young.designer.showcase.scale","Number.of.fashion.incubators","Youth.population"
"1",NA,"Safety","Safety","Safety","Safety","Affordability","Affordability","Affordability","Affordability","Affordability","Affordability","Affordability","Affordability","Transit","Transit","Transit","Transit","Transit","Transit","Transit","Transit","Transit","Transit","Health","Health","Health","Health","Health","Health","Travel","Travel","Travel","Travel","Travel","Travel","Travel","Travel","Employment","Employment","Employment","Employment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Education","Education","Education","Education","Education","Entrepreneurship","Entrepreneurship","Entrepreneurship","Entrepreneurship","Entrepreneurship","Public Space","Public Space","Public Space","Financial Services","Financial Services","Financial Services","Financial Services","Financial Services","Financial Services","Diversity","Diversity","Diversity","Diversity","Diversity","Diversity","Digital Access","Digital Access","Digital Access","Digital Access","Digital Access","Digital Access","Music","Music","Creative Arts","Creative Arts","Sports","Sports","Sports","Sports","Film","Film","Film","Civic Engagement","Civic Engagement","Civic Engagement","Civic Engagement","Civic Engagement","Food and Nightlife","Food and Nightlife","Food and Nightlife","Food and Nightlife","Fashion","Fashion","Youth Population"
"2","Accra","49.443750000000001","46.587000000000003","80.993571428571428","86.504633416279617","30.504347826086967","-2.1802453634168727E-4","65.507155322862133","47.43116131563194","60.177208175575636","0","64.527259788090305","0","0","0","0","0","0","76.519298245614038","0","0","41.381370189748068","17.990116555077183","0.28531894934334512","0","11.586666666666673","79.658333333333331","0.43005608709995352","0","5.2187919463087269","24.01030729359497","71.650543933054394","0","77.010118851241629","73.242639593908635","1.7366834170854271","20.907818829792646","6.0045714285714435","42.6","4.26","19.632093956570042","85.1","42.55","1.0783368258906296","15.655822348651796","72.277816963435129","21.274999999999999","59.625079733051372","6.6442619285216811","53.56542963877498","9.7838102030274925","0","0","0","2.9508771929824564","51.612054794520553","40.722632519356765","42.05","0","0.69734883213272525","1.1997942386831275","18.876923076923077","0","0.15120147874306666","0","0.48982035928144352","54.533333333333324","0","0","16.220000000000002","5.1566473988439272","0","40.302312390924968","5.7714285714285687","45.841162217461623","16.16","80.800000000000011","60.6","20.200000000000003","2.9270547945205534","4.8562500000000002","0","2.2312499999999997","2.9307692307692257","1.9291139240506323","54.929840435334384","54.681064315598839","1.8975","5.7002864209560817","1.3463311726481257","45.3","28.798969072164944","0.58984375","0","0","1.1567241303927109","0","0.92469135802469282","51.797885457176072","0","3.9666666666666677","32.200000000000003"
"3","Amsterdam","86.911124999999998","87.9","64.983214285714283","84.81353044815458","7.6260869565217542","85.624777992746331","79.282024432809763","84.310188757946165","87.44835752793162","79.083108464807452","83.809609277241847","87.153153047750934","8.8089528377298212","71.464285714285708","87","78.219909603658536","63.523809523809518","71.431578947368422","72.177777777777777","87","14.874338560586777","85.58649783985085","0.93747654784240386","0.24757834757835082","9.9096491228070267","65.174999999999997","3.3831078851863996","57.933333333333323","58.276510067114096","83.627384891450163","64.528870292887035","0.27721925133690412","86.36411433840766","73.242639593908635","60.78391959798995","85.253592722814687","48.68571428571429","85.2","6.39","19.00446317730049","85.1","85.1","9.4518143115167383","26.812611727272728","61.958043008636459","26.59375","55.797927283571511","30.120608706512794","77.072393840809696","11.315143325077351","83.991136353721345","76.747869283943956","12.01428571428572","8.1149122807017573","13.594246575342474","62.160869565217396","0","0.79028561277687503","0.16365422396857196","4.1135802469135747","18.876923076923077","0","1.8144177449168115","2.2664987405541552","2.9389221556886262","54.533333333333324","0","60.456363636363641","81.100000000000009","30.002312138728321","65.834117647058818","78.127748691099484","61.561904761904763","76.38343853319266","24.240000000000002","80.800000000000011","80.800000000000011","80.800000000000011","5.0558219178082195","42.734999999999999","77.400000000000006","5.578125","0","3.8582278481012646","75.916784119610583","76.08450223491387","33.206249999999997","74.315216258796937","20.582149664344207","45.3","75.5","22.4140625","0","11.324999999999999","7.8324431634862348","74.900000000000006","13.87037037037037","74.018293529397141","20.59615384615384","3.9666666666666677","23"
"4","Bangkok","17.140500000000014","87.9","38.456249999999997","83.473688815343991","61.008695652173913","79.202771893046744","69.792670157068045","73.749602076694075","83.116528491946156","69.818681011316627","71.564723528337169","82.581881569301899","1.679496402877702","65.25","0.71227845923010447","0.37477067123724567","44.650793650793652","64.00350877192983","58.644444444444453","0","15.915979120875425","83.734994811887475","3.5868667917448414","7.6254131054131111","7.6228070175438667","50.691666666666663","0.37271527548662636","6.2071428571428537","55.377181208053685","67.424208398832249","65.071129707112959","4.3431016042780781","85.971981401424202","68.856852791878183","4.7758793969849238","75.231716802280403","83.090285714285713","85.2","0","20.615887306956818","0","85.1","3.6534214811242069","9.5299069056248431","65.660821871275601","23.934374999999999","0","4.425681199516915","82.895194890564525","46.046674886164254","72.247895463256242","64.777409836065573","4.0047619047619021","1.475438596491234","32.948767123287674","67.119714115544966","0","0.10490204307207507","17.232789783889977","1.3711934156378582","6.292307692307693","14.435294117647054","4.8384473197781794","6.3874055415617095","0.48982035928144352","0","0","47.185454545454547","32.440000000000005","24.845664739884395","31.485882352941175","53.252835951134372","3.8476190476190455","59.157100941412523","32.32","80.800000000000011","33.666666666666664","0","2.3948630136986395","6.7987500000000001","77.400000000000006","4.4624999999999995","5.861538461538462","7.9575949367088601","71.941940960023587","72.223390343310299","9.4875000000000007","64.96230222671204","1.218775558832752","45.3","38.116833743986248","4.12890625","0","0","2.4585215834602976","24.966666666666661","3.6987654320987713","71.438200360978385","1.3730769230769206","7.9333333333333353","25.3"
"5","Beirut","60.101624999999999","64.167000000000002","87.9","86.463481497975707","49.5695652173913","78.289381114162282","0","69.252007802991471","80.771584992305151","48.002759265273561","87.7","81.103811279708324","0","0","0","0","75.492063492063494","87","87","0","60.508310514771068","87","8.151969981239314E-2","0","4.5736842105263227","0","0.65941933355327442","64.140476190476207","9.8577181208053677","0","86.761506276150627","0","85.543084022339286","13.157360406091378","2.6050251256281403","76.480689044696319","30.83428571428572","42.6","27.689999999999998","13.278342015548018","0","28.366666666666664","4.3307232359998844","17.814802240191383","59.373450071615949","15.956249999999999","42.409905340635689","9.8564485004178923","40.719156400273384","35.020242444584113","72.007251783267563","61.888844999999989","12.01428571428572","0.73771929824562299","14.285479452054807","30.754854079809409","0","3.6944396653766191E-2","3.8185985592665998E-2","0.34279835390946162","18.876923076923077","0","4.5360443622920466","4.5329974811083105","4.4083832335329447","54.533333333333324","0","19.90636363636364","8.1100000000000012","13.594797687861268","13.357647058823529","14.188961605584652","0","45.249191464372387","32.32","0","0","40.400000000000006","58.274999999999999","7.7700000000000005","0","3.3468749999999998","29.307692307692307","3.8582278481012646","71.950134954629988","72.194449621091835","5.6924999999999999","58.48210292316481","8.0502157672662236","0","21.015463917525775","1.1796875","0","0","6.6769531561665474","74.900000000000006","2.7740740740740786","69.296523102828488","0","3.9666666666666677","24.6"
"6","Berlin","85.812375000000003","59.991750000000003","61.843928571428577","84.518009534577075","15.252173913043483","86.635550812621162","87.7","87.7","87.207028011544409","81.443654009108258","85.524588335315087","87.7","44.044764188649083","79.232142857142861","6.0330705450213946","30.472527830717485","73.19047619047619","66.852631578947367","75.400000000000006","87","11.218845236907679","85.604136367684404","2.8939493433395924","2.2282051282051327","86.9","57.933333333333323","86.9","74.485714285714295","30.732885906040263","83.894644260286114","77.000836820083677","0.92406417112300143","86.373219149625882","73.242639593908635","0.86834170854271353","86.4","69.295999999999992","85.2","59.64","33.230820039301165","28.366666666666664","85.1","9.2977595448860129","12.328173042678214","62.904327611070421","18.615624999999998","53.856398832019792","11.259659767746241","83.705948158443618","22.854451288803379","84.167140193629109","80.644176286005319","28.033333333333328","17.705263157894738","3.6865753424657561","68.371947587849903","0","3.8660963848153909","12.98869024230518","14.054732510288067","81.8","0","5.4432532347504576","5.7692695214105765","11.265868263473061","54.533333333333324","0","60.456363636363641","81.100000000000009","40.315606936416188","36.256470588235295","79.89694589877837","76.952380952380963","77.04879484811994","40.400000000000006","80.800000000000011","53.86666666666666","80.800000000000011","35.656849315068499","49.533750000000005","77.400000000000006","27.890625","14.653846153846152","4.8227848101265813","75.994463534085767","76.188562472083419","61.668750000000003","75.900000000000006","27.509781323837625","45.3","41.252577319587637","20.64453125","26.425000000000001","0","3.5386384218322053","74.900000000000006","8.3222222222222246","74.223627934333123","1.3730769230769206","11.900000000000002","18.399999999999999"
"7","Bogota","55.047375000000002","58.893000000000001","73.773214285714289","72.66820411401757","26.69130434782609","79.67651086993439","49.130366492146585","81.349642489808431","84.810290260170333","69.10390214449896","81.364436905947755","85.83795777107666","2.6195043964828217","67.839285714285722","0.30337878664163781","17.80728522727274","55.238095238095241","91.578947368421041","74.111111111111114","87","46.625197969474868","83.346558815657886","0.97823639774859417","0.49515669515668925","6.098245614035088","65.174999999999997","2.8670405806651218E-2","28.966666666666661","18.265771812080537","76.078241478177759","67.240167364016727","1.1088770053475918","86.303107549300051","77.628426395939087","25.181909547738691","76.369250815796377","63.291428571428575","85.2","6.39","11.80508373053067","56.733333333333327","70.916666666666657","12.107761024672952","14.711633767222384","77.983256101903791","26.59375","66.786652221285294","11.611916249938895","84.286786379382278","49.865081171832237","83.265096158803573","73.584542536627907","12.01428571428572","8.1149122807017573","46.77342465753425","50.43996426444312","0","4.6515889537152884","0.49096267190570403","3.2565843621399209","18.876923076923077","0","3.4776340110905681","3.914861460957177","6.3676646706586837","54.533333333333324","0","21.380909090909089","40.550000000000004","40.315606936416188","13.357647058823529","56.614310645724288","13.466666666666672","62.019217144073963","32.32","80.800000000000011","67.333333333333329","80.800000000000011","7.1845890410958964","18.453749999999999","77.400000000000006","8.9249999999999989","11.723076923076924","2.8936708860759488","73.731281618339025","74.396539686417711","29.411249999999999","69.731626049208913","11.039881373395692","45.3","34.247422680412363","8.84765625","13.967499999999999","30.2","2.0141396534348659","49.933333333333323","5.5481481481481572","71.378292982893441","0","0","24.94"
"8","Boston","73.945875000000001","87.9","52.74","78.266368894385721","63.868478260869573","84.617777806807652","57.976893542757416","82.491681277001575","87.319407929322452","85.525434006595972","85.765104004893118","87.062911228733469","0.23181454836130883","74.053571428571431","23.740636039667713","5.2095781250000028","72.73015873015872","85.168421052631572","80.555555555555557","87","15.492217403828587","85.865403543307082","0.36683864915572589","6.6846153846153857","6.098245614035088","57.933333333333323","5.562058726492892","49.657142857142858","26.963758389261745","86.178082191780817","77.000836820083677","1.1088770053475918","86.384479543504924","71.049746192893394","86.399999999999991","82.891699087631068","67.835428571428565","85.2","6.39","60.801200498181977","56.733333333333327","85.1","4.9811273574133885","14.463689476479612","45.461226537371772","37.231249999999996","39.018418258000551","39.414359568978782","52.959017580330737","63.561075405253376","81.966397619786179","72.600810875000008","12.01428571428572","13.278947368421059","21.428219178082191","72.629541393686722","84.1","1.4466179806259254","8.182711198428598E-2","3.9421810699588438","18.876923076923077","0","2.721626617375223","3.0906801007556659","7.837125748503003","54.533333333333324","6.2384615384615394","57.507272727272728","72.990000000000009","16.407514450867055","53.430588235294117","68.680235602094243","7.695238095238091","67.076083825331779","72.72","80.800000000000011","80.800000000000011","60.6","4.7897260273972675","10.68375","77.400000000000006","4.4624999999999995","11.723076923076924","3.8582278481012646","76.035254861001519","75.93690938595779","11.385","74.372050531771492","21.536676230775228","60.4","50.203608247422679","10.6171875","5.2850000000000001","0","3.0732881538721402","24.966666666666661","18.493827160493836","74.117663198816416","0","0","27.32"
"9","Buenos Aires","65.375624999999999","52.74","58.390714285714274","81.251602915184392","7.6260869565217542","83.830747581042942","74.843455497382195","75.741841801746162","86.034366898405892","81.32789794860156","86.73516822168564","85.251957712929169","19.936051159072743","61.624999999999993","12.245016609858798","16.013678571428567","58.920634920634917","75.298245614035082","72.607407407407408","87","45.027047141673847","84.768965250095079","7.2415172138836779","11.141025641025639","24.392982456140352","50.691666666666663","0.34404486967996278","64.140476190476207","15.076510067114095","72.217903791016241","78.085355648535568","8.7786096256684463","86.050477913199231","75.435532994923861","1.7366834170854271","81.050698618891786","61.50628571428571","85.2","2.13","25.670408869576494","56.733333333333327","56.733333333333327","1.3916396213203592","26.198509225422363","72.318884045493391","18.615624999999998","38.666845204242072","17.008935466299242","84.3","49.865081171832237","78.703117824142112","84.299805456511621","12.01428571428572","5.1640350877193013","28.801369863013704","25.946277546158431","0","0.76097297657440688","1.1783104125736801","4.79917695473251","18.876923076923077","0","4.8384473197781794","5.7692695214105765","3.4287425149700694","54.533333333333324","0","17.694545454545462","81.100000000000009","37.034104046242774","45.797647058823529","63.514179755671911","3.8476190476190455","51.557441101261155","56.56","80.800000000000011","80.800000000000011","80.800000000000011","13.304794520547954","77.7","0","12.271875","17.584615384615386","20.255696202531642","72.752292453318361","74.603301412894496","18.975000000000001","70.395246936744954","22.420488743489475","45.3","36.582474226804123","2.94921875","0","0","3.823741654750906","74.900000000000006","6.4728395061728392","72.197181117435676","1.3730769230769206","3.9666666666666677","23.35"
"10","Cairo","59.662125000000003","70.319999999999993","85.388571428571424","65.019837464617908","49.5695652173913","82.029036946374546","83.873647469458987","82.149894700341832","83.159372540508429","73.890961613799618","82.753448036733118","83.885339689943578","1.8058353317346176","72.5","0","0","0","71.533333333333331","0","0","61.729376148166907","85.035604004565997","2.7665748123827458","1.4854700854700802","4.5736842105263227","50.691666666666663","0.28670405806663568","55.864285714285707","20.29530201342282","83.355515279241303","80.254393305439336","2.1253475935828945","85.732189341944249","66.663959390862942","22.142713567839195","77.532992525268526","38.948571428571427","42.6","24.495000000000001","13.278342015548018","28.366666666666664","85.1","21.524890469546392","10.416963518088121","80.31511450247163","10.637499999999999","66.444740409883693","1.2871297583817061","83.622101849628194","35.591916002943293","80.076017793547621","84.3","0","3.6885964912280791","14.285479452054807","26.046456223942819","0","2.5639287144240953E-2","0.5073280943025541","2.7423868312757165","0","0","5.1408502772643248","3.914861460957177","1.9592814371257508","0","0","16.957272727272727","0","2.3439306358381424","13.357647058823529","19.178097731239106","1.9238095238095227","55.641544199904374","24.240000000000002","80.800000000000011","53.86666666666666","80.800000000000011","2.5279109589041151","5.8275000000000006","77.400000000000006","0","26.376923076923077","8.6810126582278464","70.288523887503786","71.885971724115166","2.8462499999999999","62.597353888921305","1.6848281622845172","45.3","27.680090206185561","17.2529296875","0","0","0.91841431460470979","12.483333333333325","6.4728395061728445","69.800440732996805","0","0","26.53"
