"road.death" "food.safety" "suicides" "homicides" "c.tax.rate" "rental.housing" "gini" "cellular.cost" "food.cost" "transit.pass" "apt.buy.cost" "toothpaste.cost" "km.transit" "hrs.transit" "bike.rental" "km.bike.path" "commute.time.transit" "commute.time.foot" "commute.time.airport" "transit.app" "pop.density" "taxi.rate" "health.clinics" "sex.health.clinic" "homeless.shelter" "smoking.scale" "mental.health.facilities" "doctor.density" "city.connections.flight" "getaway.bus.cost" "getaway.bus.time" "getaway.bus.freq" "getaway.plane.cost" "getaway.plane.time" "getaway.plane.freq" "hostel.stay" "unemployment.youth" "employment.programs" "youth.employment.centers" "new.jobs.2013" "water.scale" "smart.cities.scale" "qty.recycled.materials" "qty.annual.waste" "carbon.emissions" "num.recycled.materials" "registered.vehicles" "post.secondary.institutions" "tuition.cost" "undergrad.enrollment" "student.housing" "student.debt" "employment.initiatives.scale" "age.register.business" "num.incubators" "early.entrepreneurship" "ease.doing.business" "green.public.space" "sports.facilities" "public.libraries" "business.banking" "personal.banking" "chartered.banks" "online.banking" "mobile.banking" "financial.literacy" "voting.languages" "diversity.food" "openness.lgbtq" "openness.immigrants" "diversity.religion" "gender.gap.index" "cellular.comp" "cellular.package.cost" "free.wifi" "mobile.infrastructure" "municipal.open.data" "gamers.developers.scale" "num.nightclubs" "music.festivals" "graffiti.street.art" "number.pro.sports.teams" "num.pro.sports.facilities" "cost.shorts" "cost.gym" "film.festivals" "cost.movie" "cinema.seats" "voting.age" "councillor.age" "volunteer.opportunities" "youth.advisory.board" "highschool.volunteer" "num.restaurants" "last.call.index" "num.food.festival" "fast.food" "young.designer" "fashion.incubators" "design.schools"
"Accra" 56.25 0 92.1428571428571 99.1071865109737 34.7826086956522 0 37.5356 54.4136741934627 68.6171130850349 0 73.565049995882 0 2.37707760851586 53.4265734265734 0 0 63.8297872340426 87.953216374269 65.3703703703704 0 47.5647933215495 59.5923377052798 0.990687464144236 0 7.94282785895114 91.6666666666667 0.788031557714628 0 6.04026845637584 90.9395445249144 82.928870292887 100 89.1095849200574 84.7715736040609 97.9899497487437 23.7554482428114 7.04761904761906 50 3.14203943836939 32.8319127254163 100 50 1.26714080598193 85.7842606519275 71.6925986786059 25 71.831112798346 7.88168674794981 63.5414349214413 7.95629758395324 0 0 50 0 3.50877192982456 64.6616541353384 48.4216795711733 1.61979334362417 5.41459422023547 2.96075701183857 76.9230769230769 100 0 0 0 66.6666666666667 0 0 20 6.35838150289017 0 49.694589877836 7.14285714285714 0 20 100 75 25 2.09059233449477 2.5974025974026 0 3.84615384615385 2.53164556962025 72.08640477078 71.7599269233581 1.26582278481013 7.2582721959126 0.869219462455059 60 38.1443298969072 0 0 0 1.54435798450294 0 0 69.1560553500348 0 5.55555555555556 10.4015149845747
"Amsterdam" 98.875 100 73.9285714285714 97.3768551613117 8.69565217391305 97.6339749341878 29.6426 96.1188012226169 99.7130644560224 90.1745820579332 95.5481158949443 99.376457295041 10.012539017688 79.020979020979 100 89.9079420731707 72.8723404255319 82.1052631578947 82.962962962963 100 17.0969408742377 99.1723833706314 10.665475353121 1.44595703945683 26.5244746573252 75 16.5011015410126 66.6666666666667 67.4496644295302 99.6583981792524 74.6861924686193 99.6791443850267 99.9332359887639 84.7715736040609 29.6482412060301 96.8650688016619 57.1428571428571 100 13.8695254758061 22.0582763512797 100 100 11.1067148196436 75.3823458969158 72.8061609972226 31.25 67.2204922251602 35.7302594383307 91.4263272132974 9.61683432382616 99.8009413069611 99.93909389042 100 42.8571428571429 9.64912280701754 23.3082706766917 73.9130434782609 0.948722224221933 3.68748786201912 27.8543979117403 76.9230769230769 100 17.9895451422468 2.77078085642317 3.01204819277108 66.6666666666667 0 74.5454545454545 100 36.9942196531792 81.1764705882353 96.3350785340314 76.1904761904762 99.9520154149054 30 100 100 100 4.8780487804878 53.2467532467532 100 0 5.06329113924051 99.6283256162868 99.8484281298082 43.0379746835443 94.6268359290596 13.2882647530339 60 100 29.1338582677165 11.1041666666667 15 10.4572004852954 100 17.5 98.8228218015983 28.8461538461538 5.55555555555556 58.0190262082054
"Bangkok" 19.5 100 43.75 94.2966504667962 69.5652173913043 90.3112769869819 35.08 96.0766990689798 94.7736926932111 79.6108107312618 81.5881920539152 94.1640610824423 1.80748606034736 70.6293706293706 0.818710872678274 0.430770886479592 51.063829787234 73.5672514619883 67.4074074074074 0 18.2942288745695 98.0882635848755 3.88777217418725 0 2.00454238098752 58.3333333333333 0.182964496447423 7.14285714285714 64.0939597315436 97.2444840648107 75.3138075313807 94.9732620320856 99.4794929772049 79.6954314720812 94.4723618090452 85.4782208160228 97.5238095238095 100 3.63870337429963 32.6900690981877 35 100 15.1294535312555 84.9870987979522 77.1572524926858 32.5 0 5.24991838614107 98.3335645202426 47.2787795653936 91.9284068290768 99.8425544017148 100 14.2857142857143 1.75438596491228 44.3609022556391 79.8094103633115 0.125932824816412 24.9682251680821 0.507198606579889 92.3076923076923 82.3529411764706 4.30412044268616 7.80856423173804 0 0 0 58.1818181818182 40 30.635838150289 38.8235294117647 65.6631762652705 4.76190476190476 99.764856542952 40 100 41.6666666666667 0 1.39372822299652 5.19480519480519 100 7.69230769230769 14.3459915611814 94.4119960105296 94.7813521565752 11.3924050632911 82.7176105223727 0.786866899930899 60 40.0423999123711 4.7244094488189 2.01666666666667 0 3.28240531837155 33.3333333333333 3.75 95.3781046207989 1.92307692307692 11.1111111111111 4.75008075788635
"Beirut" 68.375 42.5531914893617 100 99.0650799948821 56.5217391304348 89.2697823702379 75.0712 78.8823076525062 92.0998688623776 54.7351873036187 99.9834009041497 92.4786901707051 4.38337379612091 73.5431235431235 0 0 86.7021276595745 100 100 0 69.5497822008863 99.994955229697 0.209953793064837 0 5.24193635250918 0 1.41782555454583 73.8095238095238 11.4093959731544 99.7138618157541 89.1213389121339 98.2887700534759 99.9993141045633 15.2284263959391 96.9849246231156 86.897302151238 36.1904761904762 50 25.9296124635531 11.0265608326105 66.6666666666667 33.3333333333333 5.08898147591055 83.7713585501263 57.2155686898874 18.75 51.0917672215997 11.6921097276606 48.3026766314038 35.3220107112983 91.7670820563614 99.8192586732943 50 42.8571428571429 0.87719298245614 24.0601503759398 36.5693865396069 0.0443510163910794 0.368421052631579 1.30551458066511 76.9230769230769 100 19.2964312528894 5.54156171284635 4.81927710843374 66.6666666666667 0 24.5454545454545 10 16.7630057803468 16.4705882352941 17.4956369982548 0 99.6137513741902 40 0 0 50 74.5644599303136 6.49350649350649 0 38.4615384615385 5.06329113924051 94.4227492842913 94.7433722061573 6.32911392405063 74.4662619136443 5.19738706495748 0 27.8350515463917 0.78740157480315 1.25 0 8.91449019514892 100 2.5 92.5187224336829 0 5.55555555555556 16.5621315789474
"Berlin" 97.625 32.4468085106383 70.3571428571429 97.074479072521 17.3913043478261 98.786509506451 24.8191 100 99.4378882685797 92.8661961335328 97.5032976361707 100 50.5642557959608 89.5104895104895 6.93456384485217 35.025894058296 84.0425531914894 76.8421052631579 86.6666666666667 100 12.8952244102387 99.182711345648 7.77613861951639 3.09407083416828 55.3019751500094 66.6666666666667 100 85.7142857142857 35.5704697986577 99.6364622021931 89.1213389121339 98.9304812834225 99.9437713049085 84.7715736040609 98.9949748743718 98.1676158994754 81.3333333333333 100 31.0549228955396 38.8090548521937 0 100 10.9256868917579 88.8867593404516 73.918128802668 21.875 64.8815075256177 13.3566545287619 99.2953121689723 22.129751696648 99.9189322696636 99.9705168685819 100 100 21.0526315789474 12.531328320802 81.2983918999404 4.64117213063072 69.5826705542562 21.2645675213407 0 100 12.6725219264544 7.05289672544081 13.2530120481928 66.6666666666667 0 74.5454545454545 100 49.7109826589595 44.7058823529412 98.5165794066318 95.2380952380952 99.9592443070995 50 100 66.6666666666667 100 44.9477351916376 62.3376623376623 100 19.2307692307692 6.32911392405063 99.7302671050994 99.9849901208444 81.0126582278481 96.6447681724326 17.760888123484 60 54.639175257732 26.7716535433071 35 0 4.7244838742753 100 10 99.0969665344902 1.92307692307692 16.6666666666667 59.77572958789
"Bogota" 62.625 29.7872340425532 83.9285714285714 84.9497946546805 30.4347826086957 90.8514582605139 46.9195 92.7449029210515 96.7050059979137 78.7957835171026 92.7604688085264 97.8768047560737 2.88930982045194 74.1258741258741 0.348711249013364 20.4681439393939 63.2978723404255 64.4444444444444 85.1851851851852 100 53.592181574109 97.8608207221568 0.991081166788659 0.302532891149195 1.70757834224846 75 0.021175724169823 33.3333333333333 21.1409395973154 98.501297066003 77.8242677824268 98.716577540107 99.9999571853015 89.8477157360406 70.8542713567839 86.7706861182384 74.2857142857143 100 1.24703801177318 13.5813899898115 50 83.3333333333333 14.2276862804617 86.6645649046459 91.6371987096402 31.25 80.4587527699653 13.7745151244827 99.9843254796943 35.4964869256197 99.3142122582995 99.9135822592146 100 42.8571428571429 9.64912280701754 59.3984962406015 59.9761762954139 5.58414040061859 1.15728164827768 1.83471483912223 76.9230769230769 100 3.16408621521491 4.78589420654912 7.2289156626506 66.6666666666667 0 26.3636363636364 50 49.7109826589595 16.4705882352941 69.8080279232112 16.6666666666667 99.7959525572403 40 100 83.3333333333333 100 7.66550522648084 20.7792207792208 100 15.3846153846154 3.79746835443038 96.7602120975578 97.6332541816505 37.9746835443038 88.7904721187425 7.12757748457678 60 45.360824742268 11.0236220472441 18.5 40 2.68910501126149 66.6666666666667 6.25 95.2981214724879 0 0 9.10434919302108
"Boston" 84.125 100 60 90.6778196198219 72.8260869565217 96.4857421109966 41.85044 94.0376951417026 99.5660295659321 97.520449266358 97.777500311372 99.2735589837326 0.141397433503188 82.5174825174825 27.2880874019169 5.98802083333333 83.5106382978723 97.8947368421053 92.5925925925926 100 17.8071464411823 99.335692415721 5.15765303908332 49.1699933514049 20.5576951310491 66.6666666666667 34.0634060475988 57.1428571428571 31.2080536912752 99.9680826678656 89.1213389121339 98.716577540107 99.9568008786783 82.2335025380711 0 94.1814870056651 79.6190476190476 100 17.5270591604547 71.2717113659071 50 100 5.85326363973369 86.8957331456849 53.4209477524933 43.75 47.0059984095899 46.7548749335454 62.8220849114244 66.270927727033 98.443579600743 99.9056486496443 100 42.8571428571429 15.7894736842105 31.8295739348371 86.3609291244789 1.7366362312436 2.32210364012967 33.8515366741076 76.9230769230769 100 34.4780748351729 3.77833753148615 9.03614457831325 66.6666666666667 7.69230769230769 70.9090909090909 90 20.2312138728324 65.8823529411765 84.6858638743455 9.52380952380952 99.8508938620093 90 100 100 75 4.52961672473868 10.3896103896104 100 15.3846153846154 5.06329113924051 99.7837990301857 99.6547367269787 13.9240506329114 94.6992039809156 100 80 66.4948453608247 13.3858267716535 7 0 4.1031884564381 33.3333333333333 23.75 98.9554915872048 0 0 60.8933945439853
"Buenos.Aires" 74.375 14.8936170212766 66.4285714285714 93.7323018776307 8.69565217391305 95.5883302230095 32.1859 86.3325963666343 98.1007604314776 92.7342051865468 98.8834332588102 97.2086176886308 22.81834431609 65.7342657342657 14.0747317354699 18.4065270935961 67.5531914893617 86.5497076023392 78.7962962962963 100 51.7552265996251 98.6936894432283 23.419307008802 18.3163116882322 18.3790702880552 58.3333333333333 0.499824833077993 73.8095238095238 17.4496644295302 97.9406656760217 90.3765690376569 89.8395721925134 99.570322490083 87.3096446700508 97.9899497487437 92.0897436389295 72.1904761904762 100 1.09504388135391 29.9070728403293 50 66.6666666666667 1.63529920249159 75.9548978792385 84.9810623331297 21.875 36.0086339189721 20.1766731510074 100 100 96.2559141222079 99.9999988256073 100 42.8571428571429 6.14035087719298 39.8496240601504 30.8516974389518 0.913532985083324 7.47365795074375 8.66448746695267 76.9230769230769 100 13.3657369195851 7.05289672544081 3.6144578313253 66.6666666666667 0 21.8181818181818 100 45.6647398843931 56.4705882352941 78.3158813263525 4.76190476190476 99.6822885707795 70 100 100 100 15.6794425087108 100 0 23.0769230769231 26.5822784810127 95.4754494138036 97.9045950300453 24.0506329113924 89.6354719452287 14.4751347733141 60 48.4536082474227 3.1496062992126 0 0 5.1051290450613 100 7.5 96.391430063332 1.92307692307692 5.55555555555556 0
"Cairo" 67.875 57.4468085106383 97.1428571428571 77.1240094502237 56.5217391304348 93.5339281310272 27.0116 93.6139537840346 94.822545656224 84.2542321708091 94.3440270382828 95.6503303192059 1.9528853080063 80.4195804195804 0 0 63.8297872340426 82.2222222222222 65.3703703703704 0 70.9533059174332 98.8498157606069 3.01871091200851 0.689932818095909 0 58.3333333333333 0.113506709437364 64.2857142857143 23.489932885906 99.5581652617395 92.8870292887029 97.5401069518716 99.8832784829125 77.1573604060914 74.3718592964824 88.0929285851558 45.7142857142857 50 2.20127224818921 12.9707871604352 0 100 25.2936433249664 90.6686553572257 94.3773378407422 12.5 80.0468471423028 1.52684431599255 99.1958503554308 35.9419182501613 97.1762905706385 87.8005304152117 50 0 4.3859649122807 24.0601503759398 30.9708159618821 0.0307794563556258 0.90905980733797 0.997993822865619 100 100 3.62415423399649 4.78589420654912 1.80722891566265 0 0 20.9090909090909 0 2.89017341040462 16.4705882352941 23.6474694589878 2.38095238095238 87.8031842833184 30 100 66.6666666666667 100 1.56794425087108 3.8961038961039 100 34.6153846153846 11.3924050632911 92.2421573326821 94.3385455697049 2.53164556962025 79.7062813544469 1.08776017320431 60 38.1443298969072 11.2485939257593 0 0 1.22618733592083 16.6666666666667 4.28571428571429 93.1915096568716 0 0 0.768987620169398
"Caracas" 0 72.3404255319149 93.9285714285714 10.5959119685562 47.8260869565217 13.3588204566251 34.203 32.7678814594857 0 85.737816342453 96.5013435261372 5.09011537053731 29.8481978496919 70.6293706293706 0.00466538626339698 0.108939662550434 52.1276595744681 89.2397660818713 44.4444444444444 100 11.8391256801202 49.0584951941668 1.25947782494795 0.404756886560644 0.57113962943126 75 0.0309834881117323 57.1428571428571 5.36912751677852 96.9547050003124 85.3556485355649 99.8930481283422 0 92.3857868020305 99.4974874371859 12.7212713693997 72.1904761904762 50 6.34918810272218 85.6489527084168 0 83.3333333333333 8.90328106169229 74.7409704217039 74.1185699716348 18.75 15.5016396037391 23.5737558168386 73.5862621467816 27.9734478245858 43.4942434414482 84.5196438185328 50 42.8571428571429 4.3859649122807 46.3659147869674 6.31328171530673 0.67299616462587 1.2042488652535 1.88117743054186 76.9230769230769 76.4705882352941 2.47388430500206 1.51133501259446 0.602409638554217 66.6666666666667 0 29.0909090909091 40 36.4161849710983 43.5294117647059 57.9842931937173 2.38095238095238 99.1221327938533 10 50 66.6666666666667 50 3.83275261324042 6.49350649350649 100 15.3846153846154 10.126582278481 0 0 6.32911392405063 0 7.80192456042023 60 79.3814432989691 10.2362204724409 0.25 60 1.07086706763345 41.6666666666667 15 0 5.76923076923077 0 40.6021751831147
